ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
02|0017|0011110459000|198615|N|N|N|N|L|N|N|N|0000039|01
02|0019|0011110459000|198615|N|N|N|N|L|N|N|N|0000039|01
02|0020|0011110459000|198615|N|N|N|N|L|N|N|N|0000039|01
02|0041|0011110459000|198615|N|N|N|N|L|N|N|N|0000039|01
02|0017|0011110459000|198632|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198632|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198632|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198632|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198634|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198634|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198634|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198634|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198704|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198704|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198704|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198704|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198706|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198706|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198706|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198706|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198710|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198710|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198710|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198710|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198714|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198714|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198714|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198714|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198718|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198718|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198718|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198718|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198720|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198720|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198720|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198720|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198722|N|N|N|N|M|N|N|Y|0000100|03
02|0019|0011110459000|198722|N|N|N|N|M|N|N|Y|0000100|03
02|0020|0011110459000|198722|N|N|N|N|M|N|N|Y|0000100|03
02|0041|0011110459000|198722|N|N|N|N|M|N|N|Y|0000100|03
02|0017|0011110459000|198723|N|N|N|N|M|N|N|Y|0000100|04
02|0019|0011110459000|198723|N|N|N|N|M|N|N|Y|0000100|04
02|0020|0011110459000|198723|N|N|N|N|M|N|N|Y|0000100|04
02|0041|0011110459000|198723|N|N|N|N|M|N|N|Y|0000100|04
02|0017|0011110459000|198736|N|N|N|N|M|N|N|Y|0000100|04
02|0019|0011110459000|198736|N|N|N|N|M|N|N|Y|0000100|04
02|0020|0011110459000|198736|N|N|N|N|M|N|N|Y|0000100|04
02|0041|0011110459000|198736|N|N|N|N|M|N|N|Y|0000100|04
02|0017|0011110459000|198739|N|N|N|N|M|N|N|Y|0000100|04
02|0019|0011110459000|198739|N|N|N|N|M|N|N|Y|0000100|04
02|0020|0011110459000|198739|N|N|N|N|M|N|N|Y|0000100|04
02|0041|0011110459000|198739|N|N|N|N|M|N|N|Y|0000100|04
02|0017|0011110459200|198715|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459200|198715|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459200|198715|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459200|198715|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459200|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459200|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459200|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459200|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459200|198740|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459200|198740|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459200|198740|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459200|198740|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459200|198831|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459200|198831|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459200|198831|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459200|198831|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459220|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459220|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459220|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459220|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459220|198739|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459220|198739|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459220|198739|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459220|198739|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459220|198748|N|N|N|N|L|N|N|Y|0000089|02
02|0019|0011110459220|198748|N|N|N|N|L|N|N|Y|0000089|02
02|0020|0011110459220|198748|N|N|N|N|L|N|N|Y|0000089|02
02|0041|0011110459220|198748|N|N|N|N|L|N|N|Y|0000089|02
02|0017|0011110459220|198804|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459220|198804|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459220|198804|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459220|198804|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459220|198812|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459220|198812|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459220|198812|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459220|198812|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459220|198823|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459220|198823|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459220|198823|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459220|198823|N|N|N|N|M|N|N|Y|0000089|02
02|0017|0011110459240|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0019|0011110459240|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0020|0011110459240|198728|N|N|N|N|M|N|N|Y|0000089|02
02|0041|0011110459240|198728|N|N|N|N|M|N|N|Y|0000089|02
