UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0070470001000|YPLT CUSTARD YGT ST           |GR|OZ    |0006000|001|00001000000|0001
0070470001010|YPLT CUSTARD YGT RBY          |GR|OZ    |0006000|001|00001000000|0001
0070470001020|YPLT CUSTARD YGT BBY          |GR|OZ    |0006000|001|00001000000|0001
0070470001030|YPLT CUSTARD YGT CH           |GR|OZ    |0006000|001|00001000000|0001
0070470001060|YPLT CUSTARD YGT LMN          |GR|OZ    |0006000|001|00001000000|0001
0070470001100|YPLT CUSTARD YGT MX BY        |GR|OZ    |0006000|001|00001000000|0001
0070470001110|YPLT CUSTARD YGT HNY          |GR|OZ    |0006000|001|00001000000|0001
0070470001120|YPLT CUSTARD YGT VAN          |GR|OZ    |0006000|001|00001000000|0001
0070470001140|YPLT CUSTARD YGT BN           |GR|OZ    |0006000|001|00001000000|0001
0070470002500|YPLT SP LF FRT YGT ST&BBY 4P  |GR|OZ    |0004000|004|00001000000|0001
0070470002510|YPLT SP LF FRT YGT ST&ST&BN 4P|GR|OZ    |0004000|004|00001000000|0001
0070470002520|YPLT SP LF FRT YGT RBY&PCH 4P |GR|OZ    |0004000|004|00001000000|0001
0070470003000|YPLT ORIG FRT YGT ST          |GR|OZ    |0006000|001|00001000000|0001
0070470003010|YPLT ORIG FRT YGT RBY         |GR|OZ    |0006000|001|00001000000|0001
0070470003020|YPLT ORIG FRT YGT BBY         |GR|OZ    |0006000|001|00001000000|0001
0070470003030|YPLT ORIG FRT YGT CH          |GR|OZ    |0006000|001|00001000000|0001
0070470003040|YPLT ORIG FRT YGT APL         |GR|OZ    |0006000|001|00001000000|0001
0070470003050|YPLT ORIG FRT YGT ORG         |GR|OZ    |0006000|001|00001000000|0001
0070470003060|YPLT ORIG FRT YGT LMN         |GR|OZ    |0006000|001|00001000000|0001
0070470003070|YPLT ORIG FRT YGT PCH         |GR|OZ    |0006000|001|00001000000|0001
0070470003080|YPLT ORIG FRT YGT PNAPL       |GR|OZ    |0006000|001|00001000000|0001
0070470003090|YPLT ORIG FRT YGT BYSBY       |GR|OZ    |0006000|001|00001000000|0001
0070470003100|YPLT ORIG FRT YGT MX BY       |GR|OZ    |0006000|001|00001000000|0001
0070470003110|YPLT ORIG YGT PLAIN           |GR|OZ    |0006000|001|00001000000|0001
0070470003120|YPLT ORIG FRT YGT PN-CLD      |GR|OZ    |0006000|001|00001000000|0001
0070470003130|YPLT ORIG FRT YGT ST&BN       |GR|OZ    |0006000|001|00001000000|0001
0070470003150|YPLT ORIG FRT YGT ST&RHB      |GR|OZ    |0006000|001|00001000000|0001
0070470005000|YPLT BKFST FRT YGT ST&ALM     |GR|OZ    |0006000|001|00001000000|0001
0070470005010|YPLT BKFST FRT YGT BY         |GR|OZ    |0006000|001|00001000000|0001
0070470005030|YPLT BKFST FRT YGT ORD FRT    |GR|OZ    |0006000|001|00001000000|0001
0070470005050|YPLT BKFST FRT YGT CITRUS FRT |GR|OZ    |0006000|001|00001000000|0001
0070470005070|YPLT BKFST FRT YGT APL&CINN   |GR|OZ    |0006000|001|00001000000|0001
