Household ID|Year|Card Usage Code 
01100032|1985|11101111111111111111111111111111111111111110111111110
01100032|1986|11111111111110111111111111111111111111111111110111110
01100032|1987|01111111111111110111111111111111011111111111011111110
01100032|1988|10011101111111111111111101001111111110000000000000000
01100107|1985|11101111111111111111111111111111111111111111111111110
01100107|1986|11111111111111111111111111111111111111111111111111110
01100107|1987|11111111111111111111111111111111111111111111111111110
01100107|1988|11111111111111111111111111111111111110000000000000000
01100131|1985|11101111111111111111111111111111111011011111011111110
01100131|1986|11111111011111110111111111111111111111111111111111110
01100131|1987|11111101111101111101111111111111010111101111111110110
01100131|1988|10111011111111111111110011111111111110000000000000000
01100172|1985|11101011111111111111111111111111111111111111111111110
01100172|1986|11111111111111111111111111111111111111111111111111110
01100172|1987|11111111111111111111111111111111111111111111111111110
01100172|1988|11111111111111111111111111111111111110000000000000000
01100180|1985|11101111111111111111110011111101111111111111111111110
01100180|1986|11111111111111111111111001101111111111111111111111110
01100180|1987|11111111111111110111111111111111111111111111111111110
01100180|1988|11111111111111111111111111111111111110000000000000000
01100198|1985|11011101111110111111011111111101111011011011101110110
01100198|1986|01100110101011110111100110101010110110101110110011100
01100198|1987|10101111111010111011010110111011110110100101010111100
01100198|1988|11001010111101101010011010101101101110000000000000000
01100255|1985|10001101010101111111111101110111111011111101111111110
01100255|1986|11111111011011101101111011111111111111111111111111110
01100255|1987|11011111111111111111111101111111111100111111000101110
01100255|1988|11111111111111011111111111111111111100000000000000000
01100289|1985|11001111111111111111111111111111111111111111111111110
01100289|1986|11111111111111111111111110111111111111111111111111110
01100289|1987|11111111111111111111111111111111111111111111111111110
01100289|1988|11111111111111111111111111111111111110000000000000000
01100297|1985|11011111111111111111111111111111111111110111111111110
01100297|1986|11111111111011111111111111111111111111111111111111110
01100297|1987|11111111111111111111111111111111111111111111111111110
01100297|1988|11111111111111111111000111111111111110000000000000000
01100313|1985|11001111111111111111111111111111111111011111111111100
01100313|1986|11011111111011111110111111111111110011111111111111110
01100313|1987|01111111111111111011111011111111111111111101111111110
01100313|1988|11010101111111111111111111010011111110000000000000000
01100339|1985|11111111101011111111111011110110011111111101111111110
01100339|1986|11111111111111111111111111111110101111111111111111110
01100339|1987|11111111111111110111111111111111101111111111111011110
01100339|1988|11111111101111111011111110111111110110000000000000000
01100347|1985|11101111101111101111111111111111111111111111111111110
01100347|1986|11111111111011111111111111111111111111111111111111110
01100347|1987|11111111111111111111111111111111111111111111111111110
01100347|1988|11111111111111111111111111111111111110000000000000000
01100354|1985|11101111111111101111111111111111111111111111111111110
01100354|1986|11111111111111111111111111111111111111111111111111110
01100354|1987|11111111111111111111111111111111111111111111111111110
01100354|1988|11111111111111111111111111111111111110000000000000000
01100404|1985|10111111111111111111111111111111111110111111111111110
01100404|1986|11111111110111111111111111111111111110111111110111110
01100404|1987|11111111111111111011111111111111111111101111111111110
01100404|1988|11111111111111111111111111111111110110000000000000000
01100453|1985|11001111111111111111111111111111110111111111111111100
