ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
01|0036|0013000201000|198801|N|Y|N|N| |N|N|Y|0000035|01
01|0010|0017000002770|198818|N|N|N|N|M|N|N|Y|0000099|01
01|0036|0017000002770|198818|N|N|Y|N|M|N|N|Y|0000099|01
01|0036|0017000002770|198820|N|N|Y|N| |N|N|Y|0000119|01
01|0036|0017000002770|198822|N|N|Y|N| |N|N|N|0000119|01
02|0001|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0005|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0006|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0008|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0009|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0011|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0012|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0014|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0015|0017000002770|198813|N|N|N|N|M|N|N|Y|0000099|01
01|0036|0017000002790|198816|N|N|Y|N| |N|N|N|0000099|01
01|0010|0017000002790|198818|N|N|Y|N|M|N|N|Y|0000099|01
01|0036|0017000002790|198818|N|N|N|N|M|N|N|Y|0000099|01
01|0010|0017000002790|198819|N|N|Y|N| |N|N|Y|0000105|01
01|0010|0017000002790|198820|N|N|Y|N| |N|N|Y|0000105|01
01|0010|0017000002790|198822|N|N|Y|N| |N|N|N|0000105|01
01|0010|0017000002790|198823|N|N|Y|N| |N|N|N|0000105|01
01|0036|0017000002850|198816|N|N|Y|N| |N|N|N|0000099|01
01|0010|0017000002850|198817|N|N|Y|N| |N|N|N|0000088|01
01|0010|0017000002850|198818|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002850|198819|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002850|198820|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002850|198822|N|N|Y|N| |N|N|N|0000105|01
02|0001|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0005|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0006|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0008|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0009|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0011|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0012|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0014|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0015|0017000002850|198813|N|N|N|N|M|N|N|Y|0000099|01
01|0010|0017000002870|198817|N|N|Y|N| |N|N|N|0000088|01
01|0010|0017000002870|198818|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002870|198819|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002870|198820|N|N|Y|N| |N|N|Y|0000088|01
02|0001|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0005|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0006|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0008|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0009|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0011|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0012|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0014|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0015|0017000002870|198813|N|N|N|N|M|N|N|Y|0000099|01
01|0010|0017000002970|198817|N|N|Y|N| |N|N|N|0000088|01
01|0010|0017000002970|198818|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002970|198819|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002970|198820|N|N|Y|N| |N|N|Y|0000088|01
02|0001|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0005|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0006|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0008|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0009|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0011|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0012|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0014|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
02|0015|0017000002970|198813|N|N|N|N|M|N|N|Y|0000099|01
01|0010|0017000002980|198817|N|N|Y|N| |N|N|N|0000088|01
01|0010|0017000002980|198818|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002980|198819|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002980|198820|N|N|Y|N| |N|N|Y|0000088|01
01|0010|0017000002980|198822|N|N|Y|N| |N|N|N|0000105|01
02|0030|0017800008640|198701|N|Y|N|N| |N|N|Y|0000099|01
02|0030|0017800008640|198702|N|Y|N|N| |N|N|Y|0000099|01
02|0030|0017800008640|198703|N|Y|N|N| |N|N|Y|0000099|01
02|0030|0017800008640|198704|N|Y|N|N| |N|N|Y|0000099|01
01|0045|0022222003530|198639|N|Y|N|N| |N|N|N|0000027|01
01|0045|0022222003530|198642|Y|N|N|N| |N|N|Y|0000027|01
01|0045|0022222003530|198643|Y|N|N|N| |N|N|Y|0000027|01
01|0045|0022222003530|198644|Y|N|N|N| |N|N|N|0000027|01
01|0039|0022222003550|198628|N|N|N|N|L|N|N|Y|0000100|03
01|0045|0022222003550|198806|N|N|N|N|M|N|N|Y|0000099|03
01|0045|0022222003550|198820|N|N|N|N|M|N|N|Y|0000099|03
01|0045|0022222003550|198824|N|N|N|N|M|N|N|Y|0000100|03
01|0045|0022222003550|198826|N|N|N|N|M|N|N|Y|0000099|03
01|0039|0022222003560|198608|N|N|N|N|M|N|N|Y|0000100|03
01|0039|0022222003560|198610|N|N|Y|N| |N|N|Y|0000100|03
01|0045|0022222003560|198639|N|Y|N|N| |N|N|N|0000035|01
01|0045|0022222003560|198642|Y|N|N|N| |N|N|N|0000035|01
01|0045|0022222003560|198643|Y|N|N|N| |N|N|N|0000035|01
01|0045|0022222003560|198644|Y|N|N|N| |N|N|N|0000035|01
01|0039|0022222003570|198608|N|N|N|N|M|N|N|Y|0000100|03
01|0039|0022222003600|198628|N|N|N|N|L|N|N|Y|0000100|03
01|0045|0022222003600|198804|N|N|N|Y| |N|N|N|0000079|02
01|0045|0022222003600|198805|N|N|N|Y| |N|N|Y|0000079|02
01|0045|0022222003600|198806|N|N|N|Y|M|N|N|Y|0000099|03
01|0045|0022222003600|198820|N|N|N|N|M|N|N|Y|0000099|03
01|0045|0022222003600|198824|N|N|N|N|M|N|N|Y|0000100|03
01|0045|0022222003600|198826|N|N|N|N|M|N|N|Y|0000099|03
01|0039|0022222003620|198628|N|N|N|N|L|N|N|Y|0000100|03
