UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0073166042410|MEE TU SP R-MX O EG DROP      |GR|OZ    |0003000|001|00001000000|0001
0064144315500|G WSHGTN BRH I-MX ON 8'S      |GR|OZ    |0001400|001|00001000000|0003
0064144316100|G WSHGTN BRH I-MX GL 8'S      |GR|OZ    |0001000|001|00001000000|0003
0064144316500|G WSHGTN BRH I-MX BROWN 8'S   |GR|OZ    |0001100|001|00001000000|0003
0072700000110|MSCHWTZ SP R-MX MTZ BALL      |GR|OZ    |0004500|001|00001000000|0005
0072700000860|MSCHWTZ SP R-MX BOWTIE VG     |GR|OZ    |0004000|001|00001000000|0005
0072700000870|MSCHWTZ SP R-MX NDL VG        |GR|OZ    |0004000|001|00001000000|0005
0072700000880|MSCHWTZ SP R-MX ALPHA         |GR|OZ    |0004000|001|00001000000|0005
0072700102000|MSCHWTZ SP R-MX VG            |GR|OZ    |0006000|001|00001000000|0005
0072700102010|MSCHWTZ SP R-MX SPLT PEA      |GR|OZ    |0006000|001|00001000000|0005
0072700102020|MSCHWTZ SP R-MX SPLT PEA/BRLY |GR|OZ    |0006000|001|00001000000|0005
0072700102030|MSCHWTZ SP R-MX LIMA BN/BRLY  |GR|OZ    |0006000|001|00001000000|0005
0072700102040|MSCHWTZ SP R-MX MINSTR        |GR|OZ    |0006000|001|00001000000|0005
0072017001070|BARZI SP R-MX BN              |GR|OZ    |0016000|001|00001000000|0007
0070147005590|BASCOM'S SP R-MX MINSTR       |GR|OZ    |0010250|001|00001000000|0009
0044300121830|LA CHOY SP R-MX O CH R        |GR|OZ    |0003000|001|00001000000|0011
0044300121850|LA CHOY SP R-MX O BF R        |GR|OZ    |0003000|001|00001000000|0011
0044300121870|LA CHOY SP R-MX O R           |GR|OZ    |0003000|001|00001000000|0011
0071891106550|MRS GRIMES SP R-MX O-F BN     |GR|OZ    |0016000|001|00001000000|0013
0048001702010|K SWS SP R-MX VG              |GR|OZ    |0001625|001|00001000000|0015
0048001702020|K SWS SP R-MX GRN PEA         |GR|OZ    |0002875|001|00001000000|0015
0048001702030|K SWS SP R-MX LEEK            |GR|OZ    |0002750|001|00001000000|0015
0048001702040|K SWS SP&DIP R-MX ON          |GR|OZ    |0002000|001|00001000000|0015
0048001702050|K SWS SP R-MX OXTAIL          |GR|OZ    |0002625|001|00001000000|0015
0048001702060|K SWS SP R-MX MR              |GR|OZ    |0001900|001|00001000000|0015
0048001702070|K SWS SP R-MX TOM/BASIL       |GR|OZ    |0002875|001|00001000000|0015
0048001702080|K SWS SP R-MX CH NDL          |GR|OZ    |0002625|001|00001000000|0015
0048001702090|K SWS SP R-MX NAPOLI          |GR|OZ    |0002375|001|00001000000|0015
0048001702100|K SWS SP R-MX BF BRLY         |GR|OZ    |0002625|001|00001000000|0015
0048001702120|K SWS SP R-MX MINSTR          |GR|OZ    |0002750|001|00001000000|0015
0048001702130|K SWS SP R-MX ASP             |GR|OZ    |0002250|001|00001000000|0015
0048001702140|K SWS SP R-MX HTY MINSTR HS   |GR|OZ    |0002800|001|00001000000|0015
