Household ID|Year|Card Usage Code 
01100032|1985|11101111111111111111111111111111111111111110111111110
01100032|1986|11111111111110111111111111111111111111111111110111110
01100032|1987|01111111111111110111111111111111011111111111011111110
01100040|1985|11110110100101100010111001100100100000000011100000000
01100040|1986|10010011000011000101011000010100000000100000000100000
01100040|1987|00000010000000011000000000100000000000000000000000000
01100057|1985|11111111111111111111111111111111111111110111111111110
01100057|1986|11111111111110000000010000000000000000000000000000000
01100073|1985|11101111011111111101011111111111111111111111110111110
01100073|1986|11111111111010111110111111101101111111110110011001010
01100099|1985|11001111111111111111111111101111101111111111111111110
01100099|1986|11111111111011111111111111111111111111111111111111110
01100099|1987|11111111111111111111111101101111111111111111111111110
01100107|1985|11101111111111111111111111111111111111111111111111110
01100107|1986|11111111111111111111111111111111111111111111111111110
01100107|1987|11111111111111111111111111111111111111111111111111110
01100115|1985|11111111111111111111111111110111111111111011111111110
01100115|1986|11111111111101111101101101011111101110000001110101100
01100131|1985|11101111111111111111111111111111111011011111011111110
01100131|1986|11111111011111110111111111111111111111111111111111110
01100131|1987|11111101111101111101111111111111010111101111111110110
01100156|1985|00001111111111111111111111111111101110101111111111110
01100156|1986|11111110111111111111111101111111111111111110111110110
01100156|1987|11111111110000000111000000100001111111111111111111110
01100172|1985|11101011111111111111111111111111111111111111111111110
01100172|1986|11111111111111111111111111111111111111111111111111110
01100172|1987|11111111111111111111111111111111111111111111111111110
01100180|1985|11101111111111111111110011111101111111111111111111110
01100180|1986|11111111111111111111111001101111111111111111111111110
01100180|1987|11111111111111110111111111111111111111111111111111110
01100198|1985|11011101111110111111011111111101111011011011101110110
01100198|1986|01100110101011110111100110101010110110101110110011100
01100198|1987|10101111111010111011010110111011110110100101010111100
01100206|1985|11001111111111111110111000111111111111111111111111110
01100206|1986|11111111111111111111111011111111111111111111111110000
01100206|1987|00001000000000000000000000000000000000000000000000000
01100214|1985|11101111101111111101111111101111011000011111101010100
01100214|1986|00011110110100000000000000000000000000000000000000000
01100222|1985|11111111111111111111111111110000011111111111111111110
01100222|1986|11111111111111111111111111111011111111111111110000010
01100222|1987|11111111111011111111111111010011111111111111111111110
01100230|1985|11101111011110110111111011111111111110011111111111110
01100230|1986|11111111101111011111111100111111100000000000000000000
01100248|1985|00010000000100101110111011001000000101000010001011010
01100248|1986|01000010010111000001000110100000000101110001010111100
01100248|1987|01110111101111000101010010000000000000000100000010010
01100255|1985|10001101010101111111111101110111111011111101111111110
01100255|1986|11111111011011101101111011111111111111111111111111110
01100255|1987|11011111111111111111111101111111111100111111000101110
01100263|1985|11111111111111111011111111100011110111111111111101100
01100263|1986|11111111111110111111111111111011111111110010101111110
01100263|1987|11111011101111001111111011011011111101100111111011010
01100271|1985|11101111111111111111111111111111111111111111110111000
01100289|1985|11001111111111111111111111111111111111111111111111110
01100289|1986|11111111111111111111111110111111111111111111111111110
01100289|1987|11111111111111111111111111111111111111111111111111110
01100297|1985|11011111111111111111111111111111111111110111111111110
