UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0016000402600|B CRCKR C H CHKN&STUFFING D   |GR|OZ    |0008750|001|00001000000|0001
0016000402500|B CRCKR C H CHKN&DUMPLING D   |GR|OZ    |0009750|001|00001000000|0002
0016000402400|B CRCKR C H POT&GRAVY D       |GR|OZ    |0010000|001|00001000000|0003
0016000412800|B CRCKR H H MEAT LOAF D       |GR|OZ    |0003000|001|00001000000|0005
0016000413200|B CRCKR H H HMBRGR STEW D     |GR|OZ    |0005500|001|00001000000|0006
0016000413600|B CRCKR H H POT STRGNFF D     |GR|OZ    |0006500|001|00001000000|0007
0016000413900|B CRCKR H H POT AU GRATIN D   |GR|OZ    |0006500|001|00001000000|0008
0016000412500|B CRCKR H H SLOPPY JOE D      |GR|OZ    |0009500|001|00001000000|0009
0016000513000|B CRCKR H H CHILI W/O BNS D   |GR|OZ    |0015500|001|00001000000|0010
0016000513100|B CRCKR H H CHILI/BNS D       |GR|OZ    |0019250|001|00001000000|0011
0016000513200|B CRCKR H H CHILI/BNS HOT D   |GR|OZ    |0019500|001|00001000000|0012
0016000502000|B CRCKR ORNTL CL SWEET&SOUR D |GR|OZ    |0021750|001|00001000000|0014
0016000502100|B CRCKR ORNTL CL TERIYAKI D   |GR|OZ    |0022500|001|00001000000|0015
0016000502200|B CRCKR ORNTL CL CHOW MEIN D  |GR|OZ    |0022500|001|00001000000|0016
0016000410700|B CRCK T-H TUNA POT PIE D     |GR|OZ    |0011750|001|00001000000|0018
0024000312620|CH KG SWEET&SOUR ST FRY D     |GR|OZ    |0019000|001|00001000000|0020
0024000312630|CH KG PEPPER STK ST FRY D     |GR|OZ    |0029750|001|00001000000|0021
0024000312650|CH KG SUKIYAKI ST FRY D       |GR|OZ    |0029750|001|00001000000|0022
0024000312690|CH KG CHOW MEIN ST FRY D      |GR|OZ    |0030000|001|00001000000|0023
0024000312680|CH KG EGG FOO YNG ST FRY D    |GR|OZ    |0030250|001|00001000000|0024
0024000310060|CH KG SWEET&SOUR CHKN ST FRY D|GR|OZ    |0042000|001|00001000000|0025
0024000310070|CH KG SWEET&SOUR PORK ST FRY D|GR|OZ    |0042000|001|00001000000|0026
0021000656940|KRFT CHK APL BBQ&SCLP POT D   |GR|OZ    |0014000|001|00001000000|0028
0021000656960|KRFT CHK APL BBQ&SCLP POT D   |GR|OZ    |0015200|001|00001000000|0029
0044300121350|LA CHOY SWEET&SOUR D          |GR|OZ    |0017000|001|00001000000|0031
0044300121310|LA CHOY CL ORTL PEPPER STK D  |GR|OZ    |0029000|001|00001000000|0032
0044300121370|LA CHOY CL ORTL SUKIYAKI D    |GR|OZ    |0029000|001|00001000000|0033
0044300121330|LA CHOY CL ORTL EGG FOO YNG D |GR|OZ    |0030000|001|00001000000|0034
0078829001230|LEONARDO CHKN&DUMPLING D      |GR|OZ    |0008000|001|00001000000|0036
0075450044500|CTL BR P P HASH D             |GR|OZ    |0006000|001|00001000000|0038
0036800360200|CTL BR POT STRGNFF D          |GR|OZ    |0007000|001|00001000000|0039
0075450044520|CTL BR P P POT STRGNFF D      |GR|OZ    |0007000|001|00001000000|0040
