Household ID|Cable Status|Meter Status|Panelist Status|Number of Cats|Number of Dogs|Number of TVs|Residence Type|Residence Status|Residence Duration|Household Income|Number of Members in Household|Male Head Working Status|Male Head Average Working Hours|Male Head Occupation|Male Head Education|Male Head Spanish/Hispanic|Male Head Race|Female Head Working Status|Female Head Average Working Hours|Female Head Occupation|Female Head Education|Female Head Spanish/Hispanic|Female Head Race|Demographic Change Date|Washing Machine|Clothes Dryer|Dishwasher|Freezer|Toaster|Toaster Broiler Over|Blender|Food Processor|Microwave|Convection Oven|Coffee Maker|Trash Compactor|Garbage Disposal|Hair Dryer|Curling Iron|Hair Rollers|Vacuum Cleaner|Personal Computer|Water Softner|Other Appliances|VCR
01100032|1|0|01|00|00|03|3|1|6|11|02|1|60|07|08|0|1|1|40|08|09|0|1|      |2|2|2|0|2|0|2|0|2|2|2|0|0|2|2|0|2|0|2|0|1
01100040|1|1|01|01|02|05|3|1|7|04|04|0|00|00|00|0|0|4|40|08|08|0|1|      |2|2|0|2|2|0|2|2|2|0|2|0|0|2|2|2|2|0|2|0|0
01100057|0|0|09|00|01|02|3|1|6|07|02|1|45|10|01|0|1|2|06|08|08|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|2|2|2|2|2|0|2|0|0
01100073|0|0|09|00|02|01|5|2|2|04|03|1|40|06|09|0|1|4|40|06|08|0|1|      |2|0|0|2|2|0|2|0|0|0|0|0|0|2|2|0|2|0|2|0|0
01100099|0|0|01|00|00|02|3|1|7|01|02|0|00|00|00|0|0|7|00|00|05|0|1|      |2|2|0|2|2|2|0|0|0|0|0|0|0|2|0|2|0|0|0|0|1
01100107|1|0|01|00|01|01|1|2|5|03|03|0|00|00|00|0|0|1|40|06|07|0|1|      |0|0|0|0|2|0|2|0|2|0|2|0|0|2|0|0|2|0|0|0|0
01100115|1|0|09|00|01|02|3|1|5|05|06|1|60|07|10|0|1|6|00|00|09|0|1|      |2|2|2|2|2|2|2|2|2|2|2|0|2|2|2|0|2|0|2|0|0
01100131|1|1|01|00|00|05|3|1|5|08|04|1|40|09|09|0|1|1|40|06|07|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|2|2|0|1
01100156|1|0|05|01|00|02|3|1|5|06|04|1|50|05|04|0|1|1|40|05|06|0|1|      |2|2|0|0|2|0|2|0|2|2|2|0|0|2|2|2|2|0|0|0|0
01100172|1|0|01|00|00|01|1|2|1|03|01|0|00|00|00|0|0|7|00|00|09|0|1|      |0|0|0|0|2|0|2|0|2|0|0|0|0|2|0|2|0|0|0|0|0
01100180|1|1|01|00|00|03|3|1|6|10|05|1|40|08|09|0|1|1|38|07|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|0|2|2|2|0|1
