0016000402600B CRCKR C H CHKN&STUFFING D   GROZ    0008750001000010000000001
0016000402500B CRCKR C H CHKN&DUMPLING D   GROZ    0009750001000010000000002
0016000402400B CRCKR C H POT&GRAVY D       GROZ    0010000001000010000000003
0016000412800B CRCKR H H MEAT LOAF D       GROZ    0003000001000010000000005
0016000413200B CRCKR H H HMBRGR STEW D     GROZ    0005500001000010000000006
0016000413600B CRCKR H H POT STRGNFF D     GROZ    0006500001000010000000007
0016000413900B CRCKR H H POT AU GRATIN D   GROZ    0006500001000010000000008
0016000412500B CRCKR H H SLOPPY JOE D      GROZ    0009500001000010000000009
0016000513000B CRCKR H H CHILI W/O BNS D   GROZ    0015500001000010000000010
0016000513100B CRCKR H H CHILI/BNS D       GROZ    0019250001000010000000011
0016000513200B CRCKR H H CHILI/BNS HOT D   GROZ    0019500001000010000000012
0016000502000B CRCKR ORNTL CL SWEET&SOUR D GROZ    0021750001000010000000014
0016000502100B CRCKR ORNTL CL TERIYAKI D   GROZ    0022500001000010000000015
0016000502200B CRCKR ORNTL CL CHOW MEIN D  GROZ    0022500001000010000000016
0016000410700B CRCK T-H TUNA POT PIE D     GROZ    0011750001000010000000018
0024000312620CH KG SWEET&SOUR ST FRY D     GROZ    0019000001000010000000020
0024000312630CH KG PEPPER STK ST FRY D     GROZ    0029750001000010000000021
0024000312650CH KG SUKIYAKI ST FRY D       GROZ    0029750001000010000000022
0024000312690CH KG CHOW MEIN ST FRY D      GROZ    0030000001000010000000023
0024000312680CH KG EGG FOO YNG ST FRY D    GROZ    0030250001000010000000024
0024000310060CH KG SWEET&SOUR CHKN ST FRY DGROZ    0042000001000010000000025
0024000310070CH KG SWEET&SOUR PORK ST FRY DGROZ    0042000001000010000000026
0021000656940KRFT CHK APL BBQ&SCLP POT D   GROZ    0014000001000010000000028
0021000656960KRFT CHK APL BBQ&SCLP POT D   GROZ    0015200001000010000000029
0044300121350LA CHOY SWEET&SOUR D          GROZ    0017000001000010000000031
0044300121310LA CHOY CL ORTL PEPPER STK D  GROZ    0029000001000010000000032
0044300121370LA CHOY CL ORTL SUKIYAKI D    GROZ    0029000001000010000000033
0044300121330LA CHOY CL ORTL EGG FOO YNG D GROZ    0030000001000010000000034
0078829001230LEONARDO CHKN&DUMPLING D      GROZ    0008000001000010000000036
0075450044500CTL BR P P HASH D             GROZ    0006000001000010000000038
0036800360200CTL BR POT STRGNFF D          GROZ    0007000001000010000000039
0075450044520CTL BR P P POT STRGNFF D      GROZ    0007000001000010000000040
