ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
02|0017|0013000001040|198646|N|N|N|N|M|N|N|Y|0000089|01
02|0019|0013000001040|198646|N|N|N|N|M|N|N|Y|0000089|01
02|0020|0013000001040|198646|N|N|N|N|M|N|N|Y|0000089|01
02|0041|0013000001040|198646|N|N|N|N|M|N|N|Y|0000089|01
01|0016|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0039|0013000001070|198520|N|N|N|N| |Y|N|N|0000185|01
01|0039|0013000001070|198521|N|N|N|N|L|N|N|N|0000169|01
01|0039|0013000001070|198522|N|N|N|N|L|N|N|N|0000167|01
01|0039|0013000001070|198523|N|N|N|N|L|N|N|N|0000179|01
01|0039|0013000001070|198524|N|N|N|N|L|N|N|N|0000179|01
01|0016|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0018|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0021|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0024|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0026|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0029|0013000001070|198526|N|N|N|N|M|N|N|Y|0000159|01
01|0016|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0018|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0021|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0024|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0026|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0029|0013000001070|198611|N|N|N|N|M|N|N|Y|0000179|01
01|0026|0013000001070|198612|N|N|Y|N| |N|N|N|0000195|01
01|0016|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0018|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0021|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0024|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0026|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0029|0013000001070|198619|N|N|N|N| |Y|N|N|0000195|01
01|0016|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0018|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0021|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0024|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0026|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0029|0013000001070|198635|N|N|N|N|M|N|N|Y|0000179|01
01|0026|0013000001070|198636|N|N|Y|N| |N|N|N|0000185|01
01|0026|0013000001070|198637|N|N|Y|N| |N|N|N|0000195|01
01|0045|0013000001070|198651|N|N|N|N|L|N|N|N|0000185|01
01|0045|0013000001070|198652|N|N|N|N|L|N|N|N|0000185|01
01|0036|0013000001070|198711|Y|N|N|N| |N|N|Y|0000149|01
01|0003|0013000001070|198515|N|N|N|N|L|N|N|Y|0000179|01
01|0004|0013000001070|198515|N|N|N|N|L|N|N|Y|0000179|01
01|0007|0013000001070|198515|N|N|N|N|L|N|N|Y|0000179|01
01|0024|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0016|0013000001070|198507|N|N|N|N|M|N|N|Y|0000159|01
01|0018|0013000001070|198507|N|N|N|N|M|N|N|Y|0000159|01
01|0021|0013000001070|198507|N|N|N|N|M|N|N|Y|0000159|01
01|0024|0013000001070|198507|N|N|Y|N|M|N|N|Y|0000159|01
01|0018|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0026|0013000001070|198507|N|N|N|N|M|N|N|Y|0000159|01
01|0026|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0029|0013000001070|198507|N|N|N|N|M|N|N|Y|0000159|01
01|0024|0013000001070|198506|N|N|Y|N| |N|N|N|0000185|01
01|0016|0013000001070|198512|N|N|N|N|M|N|N|Y|0000159|01
01|0021|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0018|0013000001070|198512|N|N|N|N|M|N|N|Y|0000159|01
01|0021|0013000001070|198512|N|N|N|N|M|N|N|Y|0000159|01
01|0024|0013000001070|198512|N|N|Y|N|M|N|N|Y|0000159|01
01|0026|0013000001070|198512|N|N|N|Y|M|N|N|Y|0000159|01
01|0029|0013000001070|198505|N|N|N|N| |Y|N|N|0000185|01
01|0029|0013000001070|198512|N|N|N|N|M|N|N|Y|0000159|01
02|0001|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0005|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0006|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0008|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0009|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0011|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0012|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0014|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0015|0013000001070|198511|N|N|N|N|L|N|N|N|0000189|01
02|0001|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0005|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0006|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0008|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0009|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0011|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0012|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0014|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0015|0013000001070|198512|N|N|N|N|M|N|N|N|0000169|01
02|0001|0013000001070|198525|N|N|N|N|M|N|N|N|0000179|01
02|0005|0013000001070|198525|N|N|N|N|M|N|N|N|0000179|01
