UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0023000950550|BROOKS CATSUP TANGY           |GR|OZ    |0032000|001|00001000000|0001
0023000955250|BROOKS CATSUP TANGY PLS       |GR|OZ    |0028000|001|00001000000|0002
0023000956050|BROOKS CATSUP                 |GR|OZ    |0032000|001|00001000000|0003
0024000002640|DEL MONTE CATSUP NO SALT      |GR|OZ    |0032000|001|00001000000|0004
0024000004070|DEL MONTE CATSUP              |GR|OZ    |0014000|001|00001000000|0005
0024000004100|DEL MONTE CATSUP              |GR|OZ    |0032000|001|00001000000|0006
0024000006020|DEL MONTE CATSUP              |GR|OZ    |0024000|001|00001000000|0007
0024000007130|DEL MONTE CATSUP              |GR|OZ    |0044000|001|00001000000|0008
0024000007220|DEL MONTE CATSUP PLS          |GR|OZ    |0028000|001|00001000000|0009
0070106801130|DIA-MEL CATSUP DIET           |GR|OZ    |0013000|001|00001000000|0010
0041679016030|FEATHERWEIGHT CATSUP LO-CAL   |GR|OZ    |0011000|001|00001000000|0011
0023254337510|HAIN CATSUP NATURAL IMITATION |GR|OZ    |0014000|001|00001000000|0012
0023254343110|HAIN CATSUP NO SALT IMITATION |GR|OZ    |0014000|001|00001000000|0013
0035742248020|HEALTH VALLEY CATSUP NO SALT  |GR|OZ    |0014000|001|00001000000|0014
0013000001040|HEINZ KETCHUP LITE            |GR|OZ    |0013250|001|00001000000|0015
0013000001070|HEINZ KETCHUP                 |GR|OZ    |0044000|001|00001000000|0016
0013000001090|HEINZ KETCHUP PLS             |GR|OZ    |0040000|001|00001000000|0017
0013000001210|HEINZ KETCHUP PLS             |GR|OZ    |0064000|001|00001000000|0018
0013000001240|HEINZ KETCHUP                 |GR|OZ    |0014000|001|00001000000|0019
0013000001250|HEINZ KETCHUP                 |GR|OZ    |0032000|001|00001000000|0020
0013000001280|HEINZ KETCHUP PLS             |GR|OZ    |0028000|001|00001000000|0021
0013000001290|HEINZ KETCHUP ONION PLS       |GR|OZ    |0028000|001|00001000000|0022
0013000001380|HEINZ KETCHUP                 |GR|OZ    |0024000|001|00001000000|0023
0013000001650|HEINZ KETCHUP HOT             |GR|OZ    |0014000|001|00001000000|0024
0027000382070|HUNT'S KETCHUP NO SALT        |GR|OZ    |0014000|001|00001000000|0025
0027000382340|HUNT'S KETCHUP                |GR|OZ    |0014000|001|00001000000|0026
0027000382440|HUNT'S KETCHUP PLS&GLS        |GR|OZ    |0044000|001|00001000000|0027
0027000382490|HUNT'S KETCHUP                |GR|OZ    |0024000|001|00001000000|0028
0027000382510|HUNT'S KETCHUP CAN            |GR|OZ    |0114000|001|00001000000|0029
0027000382580|HUNT'S KETCHUP PLS&GLS        |GR|OZ    |0032000|001|00001000000|0030
0021000835530|KRAFT CATSUP CAN              |GR|OZ    |0115000|001|00001000000|0031
0071245473760|NAAS CATSUP CAN               |GR|OZ    |0115000|001|00001000000|0032
0072940115990|RED GOLD CATSUP               |GR|OZ    |0115000|001|00001000000|0033
0052000030510|STOKELY CATSUP                |GR|OZ    |0032000|001|00001000000|0034
0013000002130|WEIGHT WATCHERS KETCHUP DIET  |GR|OZ    |0013250|001|00001000000|0035
0011161126210|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0036
0011161126240|CTL BR CATSUP                 |GR|OZ    |0024000|001|00001000000|0037
0011161126260|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0038
0011161326260|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0039
0022222002790|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0040
0022222002800|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0041
0022222023370|CTL BR CATSUP                 |GR|OZ    |0044000|001|00001000000|0042
0022222027260|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0043
0022222030860|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0044
0022222031490|CTL BR CATSUP PLS             |GR|OZ    |0028000|001|00001000000|0045
0036800701050|CTL BR CATSUP                 |GR|OZ    |0024000|001|00001000000|0046
0036800701500|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0047
0036800702160|CTL BR CATSUP PLS             |GR|OZ    |0028000|001|00001000000|0048
0036800703200|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0049
0036800704200|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0050
0036800704500|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0051
0036800709150|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0052
0036800709350|CTL BR CATSUP                 |GR|OZ    |0044000|001|00001000000|0053
0041130033350|CTL BR CATSUP PLS             |GR|OZ    |0028000|001|00001000000|0054
0041130110640|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0055
0041130110720|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0056
0041130131690|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0057
0041130142500|CTL BR CATSUP FANCY           |GR|OZ    |0114000|001|00001000000|0058
0041163120030|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0059
0041163120050|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0060
0041163120100|CTL BR CATSUP PLS             |GR|OZ    |0028000|001|00001000000|0061
0041270022950|CTL BR CATSUP FANCY           |GR|OZ    |0032000|001|00001000000|0062
0070038307050|CTL BR CATSUP X FANCY         |GR|OZ    |0032000|001|00001000000|0063
0070038307060|CTL BR CATSUP CAN             |GR|OZ    |0115000|001|00001000000|0064
0070038307070|CTL BR CATSUP FANCY           |GR|OZ    |0032000|001|00001000000|0065
0070038307080|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0066
0070038307090|CTL BR CATSUP FANCY PLS       |GR|OZ    |0028000|001|00001000000|0067
0070253286120|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0068
0075450035890|CTL BR CATSUP                 |GR|OZ    |0014000|001|00001000000|0069
0075450035950|CTL BR CATSUP                 |GR|OZ    |0032000|001|00001000000|0070
0075450035970|CTL BR CATSUP                 |GR|OZ    |0024000|001|00001000000|0071
0075450035990|CTL BR CATSUP PLS             |GR|OZ    |0028000|001|00001000000|0072
0011161526260|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0073
0032600016130|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0074
0041130003870|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0075
0041163126010|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0076
0041223003000|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0077
0050700985510|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0078
0070253286280|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0079
0071245473870|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0080
0072940133320|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0081
0074317000870|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0082
0075657100320|GENERIC CATSUP                |GR|OZ    |0032000|001|00001000000|0083
