ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
02|0017|0011111200140|198605|N|N|N|N|M|N|N|Y|0000139|01
02|0019|0011111200140|198605|N|N|N|N|M|N|N|Y|0000139|01
02|0020|0011111200140|198605|N|N|N|N|M|N|N|Y|0000139|01
02|0041|0011111200140|198605|N|N|N|N|M|N|N|Y|0000139|01
01|0016|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0018|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0021|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0024|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0026|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0029|0011111202140|198617|N|N|N|N|L|N|N|Y|0000099|01
01|0016|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
01|0018|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
01|0021|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
01|0024|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
01|0026|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
01|0029|0011111202140|198633|N|N|N|N|L|N|N|Y|0000099|01
02|0022|0011111202140|198704|N|N|N|N|M|N|N|Y|0000139|01
02|0023|0011111202140|198704|N|N|N|N|M|N|N|Y|0000139|01
02|0025|0011111202140|198704|N|N|N|N|M|N|N|Y|0000139|01
02|0027|0011111202140|198704|N|N|N|N|M|N|N|Y|0000139|01
02|0028|0011111202140|198704|N|N|N|N|M|N|N|Y|0000139|01
02|0022|0011111202140|198717|N|N|N|N|M|N|N|Y|0000129|01
02|0023|0011111202140|198717|N|N|N|N|M|N|N|Y|0000129|01
02|0025|0011111202140|198717|N|N|N|N|M|N|N|Y|0000129|01
02|0027|0011111202140|198717|N|N|N|N|M|N|N|Y|0000129|01
02|0028|0011111202140|198717|N|N|N|N|M|N|N|Y|0000129|01
