UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0033200080300|ARM&HMR H-D LIQ               |ML|OZ    |0032000|001|00001000000|0001
0033200080350|ARM&HMR H-D LIQ -.25          |ML|OZ    |0032000|001|00001000000|0001
0033200080380|ARM&HMR H-D LIQ PP            |ML|OZ    |0032000|001|00001000000|0001
0033200080390|ARM&HMR H-D LIQ PP            |ML|OZ    |0032000|001|00001000000|0001
0033200080500|ARM&HMR H-D LIQ               |ML|OZ    |0064000|001|00001000000|0001
0033200080550|ARM&HMR H-D LIQ -.35          |ML|OZ    |0064000|001|00001000000|0001
0033200080580|ARM&HMR H-D LIQ PP            |ML|OZ    |0064000|001|00001000000|0001
0033200080590|ARM&HMR H-D LIQ PP            |ML|OZ    |0064000|001|00001000000|0001
0033200080700|ARM&HMR H-D LIQ               |ML|OZ    |0128000|001|00001000000|0001
0033200080750|ARM&HMR H-D LIQ -.50          |ML|OZ    |0128000|001|00001000000|0001
0033200080760|ARM&HMR H-D LIQ -.60          |ML|OZ    |0128000|001|00001000000|0001
0033200080780|ARM&HMR H-D LIQ PP            |ML|OZ    |0128000|001|00001000000|0001
0033200080790|ARM&HMR H-D LIQ PP            |ML|OZ    |0128000|001|00001000000|0001
0035000497000|AJAX H-D LIQ NP               |ML|OZ    |0032000|001|00001000000|0003
0035000497290|AJAX H-D LIQ NP               |ML|OZ    |0032000|001|00001000000|0003
0035000498000|AJAX H-D LIQ NP               |ML|OZ    |0064000|001|00001000000|0003
0035000498490|AJAX H-D LIQ NP PP            |ML|OZ    |0064000|001|00001000000|0003
0035000499000|AJAX H-D LIQ NP               |ML|OZ    |0128000|001|00001000000|0003
0035000499890|AJAX H-D LIQ NP PP            |ML|OZ    |0128000|001|00001000000|0003
0035000066390|DYNAMO ACT PLUS H-D LIQ TR PP |ML|OZ    |0008000|001|00001000000|0004
0035000404000|DYNAMO ACT PLUS H-D LIQ       |ML|OZ    |0032000|001|00001000000|0004
0035000404200|DYNAMO ACT PLUS H-D LIQ -.20  |ML|OZ    |0032000|001|00001000000|0004
0035000404250|DYNAMO ACT PLUS H-D LIQ -.25  |ML|OZ    |0032000|001|00001000000|0004
0035000404300|DYNAMO ACT PLUS H-D LIQ -.30  |ML|OZ    |0032000|001|00001000000|0004
0035000404400|DYNAMO ACT PLUS H-D LIQ -.40  |ML|OZ    |0032000|001|00001000000|0004
0035000404500|DYNAMO ACT PLUS H-D LIQ -.50  |ML|OZ    |0032000|001|00001000000|0004
0035000404590|DYNAMO ACT PLUS H-D LIQ PP    |ML|OZ    |0032000|001|00001000000|0004
0035000405010|DYNAMO ACT PLUS H-D LIQ -1.00 |ML|OZ    |0064000|001|00001000000|0004
0035000405250|DYNAMO ACT PLUS H-D LIQ -1.25 |ML|OZ    |0064000|001|00001000000|0004
0035000405490|DYNAMO ACT PLUS H-D LIQ PP    |ML|OZ    |0064000|001|00001000000|0004
0035000405750|DYNAMO ACT PLUS H-D LIQ -.75  |ML|OZ    |0064000|001|00001000000|0004
0035000406000|DYNAMO ACT PLUS H-D LIQ       |ML|OZ    |0128000|001|00001000000|0004
0035000406010|DYNAMO ACT PLUS H-D LIQ -1.00 |ML|OZ    |0128000|001|00001000000|0004
0035000406020|DYNAMO ACT PLUS H-D LIQ -2.00 |ML|OZ    |0128000|001|00001000000|0004
0035000406030|DYNAMO ACT PLUS H-D LIQ -3.00 |ML|OZ    |0128000|001|00001000000|0004
0035000407000|DYNAMO ACT PLUS H-D LIQ       |ML|OZ    |0096000|001|00001000000|0004
0035000407990|DYNAMO ACT PLUS H-D LIQ PP    |ML|OZ    |0096000|001|00001000000|0004
0035000066490|DYNAMO II H-D LIQ TR          |ML|OZ    |0008000|001|00001000000|0005
0035000404690|DYNAMO II H-D LIQ PP          |ML|OZ    |0032000|001|00001000000|0005
0035000405000|DYNAMO II H-D LIQ             |ML|OZ    |0064000|001|00001000000|0005
0035000406590|DYNAMO II H-D LIQ PP          |ML|OZ    |0128000|001|00001000000|0005
0035000406900|DYNAMO II H-D LIQ             |ML|OZ    |0128000|001|00001000000|0005
0035000406940|DYNAMO II H-D LIQ PP          |ML|OZ    |0128000|001|00001000000|0005
0035000407050|DYNAMO II H-D LIQ -1.50       |ML|OZ    |0096000|001|00001000000|0005
0035000481490|DYNAMO II H-D LIQ PP          |ML|OZ    |0064000|001|00001000000|0005
0035000055160|FAB H-D LIQ/F-S TR PP         |ML|OZ    |0008000|001|00001000000|0006
0035000420000|FAB H-D LIQ/F-S               |ML|OZ    |0032000|001|00001000000|0006
0035000420400|FAB H-D LIQ/F-S -.40          |ML|OZ    |0032000|001|00001000000|0006
0035000420500|FAB H-D LIQ/F-S -.50          |ML|OZ    |0032000|001|00001000000|0006
0035000420790|FAB H-D LIQ/F-S PP            |ML|OZ    |0032000|001|00001000000|0006
0035000421000|FAB H-D LIQ/F-S               |ML|OZ    |0064000|001|00001000000|0006
0035000421010|FAB H-D LIQ/F-S -1.00         |ML|OZ    |0064000|001|00001000000|0006
0035000421990|FAB H-D LIQ/F-S PP            |ML|OZ    |0064000|001|00001000000|0006
0035000422000|FAB H-D LIQ/F-S               |ML|OZ    |0128000|001|00001000000|0006
0035000422020|FAB H-D LIQ/F-S -2.00         |ML|OZ    |0128000|001|00001000000|0006
0035000422500|FAB H-D LIQ/F-S -1.50         |ML|OZ    |0128000|001|00001000000|0006
0035000422990|FAB H-D LIQ/F-S PP            |ML|OZ    |0128000|001|00001000000|0006
0035000423000|FAB H-D LIQ/F-S               |ML|OZ    |0096000|001|00001000000|0006
0035000423050|FAB H-D LIQ/F-S -1.50         |ML|OZ    |0096000|001|00001000000|0006
0035000423990|FAB H-D LIQ/F-S PP            |ML|OZ    |0096000|001|00001000000|0006
0024200024010|DUTCH H-D LIQ                 |ML|OZ    |0032000|001|00001000000|0008
0024200024020|DUTCH H-D LIQ                 |ML|OZ    |0064000|001|00001000000|0008
0024200047000|DUTCH H-D LIQ                 |ML|OZ    |0032000|001|00001000000|0008
0024200047010|DUTCH H-D LIQ                 |ML|OZ    |0032000|001|00001000000|0008
0024200047020|DUTCH H-D LIQ                 |ML|OZ    |0064000|001|00001000000|0008
0024200047030|DUTCH H-D LIQ PP              |ML|OZ    |0064000|001|00001000000|0008
0024200048170|PUREX H-D LIQ/F-S             |ML|OZ    |0080000|001|00001000000|0009
0024200048180|PUREX H-D LIQ/F-S             |ML|OZ    |0040000|001|00001000000|0009
0024200048200|PUREX H-D LIQ/F-S -.75        |ML|OZ    |0080000|001|00001000000|0009
0024200048210|PUREX H-D LIQ/F-S -1.00       |ML|OZ    |0080000|001|00001000000|0009
0024200048300|PUREX H-D LIQ/F-S             |ML|OZ    |0032000|001|00001000000|0009
0024200048450|PUREX H-D LIQ                 |ML|OZ    |0032000|001|00001000000|0009
0024200048470|PUREX H-D LIQ/F-S UNS PP      |ML|OZ    |0032000|001|00001000000|0009
0024200048600|PUREX H-D LIQ/F-S             |ML|OZ    |0064000|001|00001000000|0009
0024200048610|PUREX H-D LIQ/F-S -1.00       |ML|OZ    |0064000|001|00001000000|0009
0024200048620|PUREX H-D LIQ/F-S PP          |ML|OZ    |0064000|001|00001000000|0009
0024200048750|PUREX H-D LIQ NP              |ML|OZ    |0064000|001|00001000000|0009
0024200048760|PUREX H-D LIQ -1.00           |ML|OZ    |0064000|001|00001000000|0009
0024200048770|PUREX H-D LIQ/F-S UNS PP      |ML|OZ    |0064000|001|00001000000|0009
0024200048950|PUREX H-D LIQ UNS             |ML|OZ    |0128000|001|00001000000|0009
0024200048960|PUREX H-D LIQ NP UNS -2.00    |ML|OZ    |0128000|001|00001000000|0009
0024200048970|PUREX H-D LIQ UNS PP          |ML|OZ    |0128000|001|00001000000|0009
0075275634470|JLP H-D LIQ                   |ML|OZ    |0064000|001|00001000000|0011
0075298261000|BREAK-THRU H-D LIQ            |ML|OZ    |0128000|001|00001000000|0013
0075298261010|BREAK-THRU H-D LIQ            |ML|OZ    |0128000|001|00001000000|0013
0075298261050|BREAK-THRU H-D LIQ NP         |ML|OZ    |0126000|001|00001000000|0013
0011111892060|ALL H-D LIQ NP                |ML|OZ    |0064000|001|00001000000|0015
0011111892360|ALL H-D LIQ PP                |ML|OZ    |0032000|001|00001000000|0015
0011111892530|ALL H-D LIQ PP                |ML|OZ    |0096000|001|00001000000|0015
0011111892950|ALL H-D LIQ PP                |ML|OZ    |0064000|001|00001000000|0015
0011111893280|ALL H-D LIQ PP                |ML|OZ    |0064000|001|00001000000|0015
0011111893310|ALL H-D LIQ PP                |ML|OZ    |0032000|001|00001000000|0015
0011111893660|ALL H-D LIQ PP                |ML|OZ    |0096000|001|00001000000|0015
0011111894320|ALL H-D LIQ PP                |ML|OZ    |0128000|001|00001000000|0015
0011111894810|ALL H-D LIQ NP PP             |ML|OZ    |0064000|001|00001000000|0015
0011111480030|SURF H-D LIQ                  |ML|OZ    |0128000|001|00001000000|0016
0011111480040|SURF H-D LIQ                  |ML|OZ    |0096000|001|00001000000|0016
0011111480090|SURF H-D LIQ                  |ML|OZ    |0064000|001|00001000000|0016
0011111480160|SURF H-D LIQ                  |ML|OZ    |0032000|001|00001000000|0016
0011111480960|SURF H-D LIQ PP               |ML|OZ    |0064000|001|00001000000|0016
0011111481550|SURF H-D LIQ NP -1.00         |ML|OZ    |0064000|001|00001000000|0016
0011111481890|SURF H-D LIQ PP               |ML|OZ    |0032000|001|00001000000|0016
0011111482310|SURF H-D LIQ PP               |ML|OZ    |0064000|001|00001000000|0016
0011111482520|SURF H-D LIQ PP               |ML|OZ    |0128000|001|00001000000|0016
0011111482630|SURF H-D LIQ -1.50            |ML|OZ    |0096000|001|00001000000|0016
0011111482910|SURF H-D LIQ -.40             |ML|OZ    |0032000|001|00001000000|0016
0011111484270|SURF H-D LIQ -.50             |ML|OZ    |0032000|001|00001000000|0016
0011111484850|SURF H-D LIQ -2.00            |ML|OZ    |0128000|001|00001000000|0016
0011111484990|SURF H-D LIQ PP               |ML|OZ    |0096000|001|00001000000|0016
0011111870260|WISK H-D LIQ -2.00            |ML|OZ    |0128000|001|00001000000|0017
0011111870290|WISK H-D LIQ -.30             |ML|OZ    |0032000|001|00001000000|0017
0011111870450|WISK H-D LIQ PP               |ML|OZ    |0032000|001|00001000000|0017
0011111870900|WISK H-D LIQ NP UNS -2.00     |ML|OZ    |0128000|001|00001000000|0017
0011111871920|WISK H-D LIQ PP               |ML|OZ    |0128000|001|00001000000|0017
0011111872360|WISK H-D LIQ NP -.25          |ML|OZ    |0032000|001|00001000000|0017
0011111872380|WISK H-D LIQ PP               |ML|OZ    |0064000|001|00001000000|0017
0011111872650|WISK H-D LIQ PP               |ML|OZ    |0032000|001|00001000000|0017
0011111872700|WISK H-D LIQ NP UNS -1.00     |ML|OZ    |0064000|001|00001000000|0017
0011111872810|WISK H-D LIQ NP -.75          |ML|OZ    |0064000|001|00001000000|0017
0011111872890|WISK H-D LIQ -.50             |ML|OZ    |0032000|001|00001000000|0017
0011111873280|WISK H-D LIQ -.40             |ML|OZ    |0032000|001|00001000000|0017
0011111873700|WISK H-D LIQ PP               |ML|OZ    |0128000|001|00001000000|0017
0011111873830|WISK H-D LIQ -1.00            |ML|OZ    |0064000|001|00001000000|0017
0011111874040|WISK H-D LIQ NP               |ML|OZ    |0128000|001|00001000000|0017
0011111874060|WISK H-D LIQ NP               |ML|OZ    |0064000|001|00001000000|0017
0011111874120|WISK H-D LIQ NP               |ML|OZ    |0032000|001|00001000000|0017
0011111874590|WISK H-D LIQ NP -.50          |ML|OZ    |0064000|001|00001000000|0017
0011111874630|WISK H-D LIQ -1.50            |ML|OZ    |0128000|001|00001000000|0017
0011111874860|WISK H-D LIQ PP               |ML|OZ    |0064000|001|00001000000|0017
0011111874970|WISK H-D LIQ 32OZ=            |ML|OZ    |0096000|001|00001000000|0017
0011111878640|WISK H-D LIQ NP -1.00         |ML|OZ    |0128000|001|00001000000|0017
0022200000140|BABY MAGIC H-D LIQ            |ML|OZ    |0064000|001|00001000000|0019
0022200005090|BABY MAGIC H-D LIQ NP         |ML|OZ    |0032000|001|00001000000|0019
0037000008090|B-3 H-D LIQ                   |ML|OZ    |0032000|001|00001000000|0021
0037000008100|B-3 H-D LIQ                   |ML|OZ    |0064000|001|00001000000|0021
0037000008130|B-3 H-D LIQ                   |ML|OZ    |0096000|001|00001000000|0021
0037000008140|B-3 H-D LIQ                   |ML|OZ    |0128000|001|00001000000|0021
0037000008150|B-3 H-D LIQ TR PP             |ML|OZ    |0012000|000|00001000000|0021
0037000008160|B-3 H-D LIQ -.50              |ML|OZ    |0064000|001|00001000000|0021
0037000008360|B-3 H-D LIQ -.75              |ML|OZ    |0064000|001|00001000000|0021
0037000008370|B-3 H-D LIQ -1.00             |ML|OZ    |0128000|001|00001000000|0021
0037000009200|B-3 H-D LIQ PP                |ML|OZ    |0032000|001|00001000000|0021
0037000009270|B-3 H-D LIQ -1.50             |ML|OZ    |0128000|001|00001000000|0021
0037000971050|B-3 H-D LIQ -.40              |ML|OZ    |0032000|001|00001000000|0021
0037000971070|B-3 H-D LIQ PP                |ML|OZ    |0128000|001|00001000000|0021
0037000971150|B-3 H-D LIQ -1.00             |ML|OZ    |0096000|001|00001000000|0021
0037000971170|B-3 H-D LIQ -1.50             |ML|OZ    |0096000|001|00001000000|0021
0037000971190|B-3 H-D LIQ PP                |ML|OZ    |0096000|001|00001000000|0021
0037000971200|B-3 H-D LIQ -1.00             |ML|OZ    |0064000|001|00001000000|0021
0037000971210|B-3 H-D LIQ PP                |ML|OZ    |0064000|001|00001000000|0021
0037000971230|B-3 H-D LIQ PP                |ML|OZ    |0064000|001|00001000000|0021
0037000009320|CH H-D LIQ -1.00              |ML|OZ    |0064000|001|00001000000|0022
0037000009330|CH H-D LIQ -.75               |ML|OZ    |0064000|001|00001000000|0022
0037000009410|CH H-D LIQ                    |ML|OZ    |0032000|001|00001000000|0022
0037000009420|CH H-D LIQ                    |ML|OZ    |0064000|001|00001000000|0022
0037000009430|CH H-D LIQ                    |ML|OZ    |0128000|001|00001000000|0022
0037000009440|CH H-D LIQ                    |ML|OZ    |0096000|001|00001000000|0022
0037000009450|CH H-D LIQ -1.50              |ML|OZ    |0128000|001|00001000000|0022
0037000009500|CH H-D LIQ PP                 |ML|OZ    |0064000|001|00001000000|0022
0037000009970|CH H-D LIQ -1.00              |ML|OZ    |0096000|001|00001000000|0022
0037000970700|CH H-D LIQ -1.50              |ML|OZ    |0096000|001|00001000000|0022
0037000970710|CH H-D LIQ -2.00              |ML|OZ    |0128000|001|00001000000|0022
0037000973000|DASH H-D LIQ LM               |ML|OZ    |0128000|001|00001000000|0023
0037000973020|DASH H-D LIQ LM -1.50         |ML|OZ    |0128000|001|00001000000|0023
0037000973200|DASH H-D LIQ LM               |ML|OZ    |0096000|001|00001000000|0023
0037000973210|DASH H-D LIQ LM PP            |ML|OZ    |0096000|001|00001000000|0023
0037000973220|DASH H-D LIQ LM -1.00         |ML|OZ    |0096000|001|00001000000|0023
0037000973300|DASH H-D LIQ LM               |ML|OZ    |0064000|001|00001000000|0023
0037000973310|DASH H-D LIQ LM PP            |ML|OZ    |0064000|001|00001000000|0023
0037000973320|DASH H-D LIQ LM -.75          |ML|OZ    |0064000|001|00001000000|0023
0037000008400|ERA PLUS H-D LIQ TR PP        |ML|OZ    |0008000|001|00001000000|0024
0037000008410|ERA PLUS H-D LIQ              |ML|OZ    |0016000|001|00001000000|0024
0037000008420|ERA PLUS H-D LIQ              |ML|OZ    |0032000|001|00001000000|0024
0037000008430|ERA PLUS H-D LIQ              |ML|OZ    |0064000|001|00001000000|0024
0037000008440|ERA PLUS H-D LIQ              |ML|OZ    |0128000|001|00001000000|0024
0037000008470|ERA PLUS H-D LIQ/=DOWNY       |ML|OZ    |0064000|001|00001000000|0024
0037000008500|ERA PLUS H-D LIQ -.30         |ML|OZ    |0032000|001|00001000000|0024
0037000008530|ERA PLUS H-D LIQ/PRE-TREATER  |ML|OZ    |0008000|001|00001000000|0024
0037000008550|ERA PLUS H-D LIQ -.75         |ML|OZ    |0064000|001|00001000000|0024
0037000008560|ERA PLUS H-D LIQ PP           |ML|OZ    |0032000|001|00001000000|0024
0037000008590|ERA PLUS H-D LIQ PP           |ML|OZ    |0032000|001|00001000000|0024
0037000009090|ERA PLUS H-D LIQ -1.00        |ML|OZ    |0128000|001|00001000000|0024
0037000009740|ERA PLUS H-D LIQ              |ML|OZ    |0096000|001|00001000000|0024
0037000009750|ERA PLUS H-D LIQ -.50         |ML|OZ    |0064000|001|00001000000|0024
0037000914170|ERA PLUS H-D LIQ -1.50        |ML|OZ    |0128000|001|00001000000|0024
0037000914230|ERS PLUS H-D LIQ PP           |ML|OZ    |0064000|001|00001000000|0024
0037000914320|ERA PLUS H-D LIQ PP           |ML|OZ    |0064000|001|00001000000|0024
0037000914370|ERA PLUS H-D LIQ -.75         |ML|OZ    |0064000|001|00001000000|0024
0037000914470|ERA PLUS H-D LIQ -2.00        |ML|OZ    |0128000|001|00001000000|0024
0037000914500|ERA PLUS H-D LIQ              |ML|OZ    |0096000|001|00001000000|0024
0037000914530|ERA PLUS H-D LIQ -1.00        |ML|OZ    |0096000|001|00001000000|0024
0037000914550|ERA PLUS H-D LIQ -1.50        |ML|OZ    |0096000|001|00001000000|0024
