Household ID|Cable Status|Meter Status|Panelist Status|Number of Cats|Number of Dogs|Number of TVs|Residence Type|Residence Status|Residence Duration|Household Income|Number of Members in Household|Male Head Working Status|Male Head Average Working Hours|Male Head Occupation|Male Head Education|Male Head Spanish/Hispanic|Male Head Race|Female Head Working Status|Female Head Average Working Hours|Female Head Occupation|Female Head Education|Female Head Spanish/Hispanic|Female Head Race|Demographic Change Date|Washing Machine|Clothes Dryer|Dishwasher|Freezer|Toaster|Toaster Broiler Over|Blender|Food Processor|Microwave|Convection Oven|Coffee Maker|Trash Compactor|Garbage Disposal|Hair Dryer|Curling Iron|Hair Rollers|Vacuum Cleaner|Personal Computer|Water Softner|Other Appliances|VCR
01100032|1|0|01|00|00|03|3|1|6|11|02|1|40|07|08|0|1|1|40|08|09|0|1|      |2|2|2|0|2|0|2|0|2|2|2|0|0|2|2|0|2|0|2|0|1
01100107|1|0|01|00|01|01|1|2|5|03|03|0|00|00|00|0|0|1|40|06|07|0|1|      |0|0|0|0|2|0|2|0|2|0|2|0|0|2|0|0|2|0|0|0|0
01100131|1|1|01|00|00|05|3|1|5|09|04|1|40|09|09|0|1|1|40|06|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|2|2|0|1
01100172|1|0|01|00|00|01|1|2|3|02|01|0|00|00|00|0|0|7|00|00|09|0|1|      |0|0|0|0|2|0|2|0|2|0|0|0|0|2|0|2|0|0|0|0|0
01100180|1|1|01|00|00|03|3|1|6|08|04|1|40|08|09|0|1|1|38|07|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|0|2|2|2|0|1
01100198|0|0|01|00|00|01|1|2|6|02|01|0|00|00|00|0|0|7|00|00|05|0|1|      |2|0|0|0|2|0|0|0|0|0|2|0|0|0|0|0|2|0|0|0|0
01100255|1|1|01|00|00|04|3|1|8|02|01|0|00|00|00|0|0|7|00|00|03|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|0|2|0|0|2|0|0|0|0
01100289|0|0|01|00|00|02|3|1|8|03|02|7|00|00|09|0|1|7|00|00|05|0|1|      |2|0|0|0|2|2|0|0|0|0|0|0|0|2|2|0|2|0|0|0|0
01100297|0|1|01|00|00|03|3|1|8|07|02|3|20|05|05|0|1|3|12|05|05|0|1|      |2|2|0|2|2|2|2|2|2|0|2|0|2|2|2|0|2|0|2|0|0
01100313|1|0|01|00|01|02|3|1|2|06|03|0|00|00|00|0|0|1|40|08|08|0|1|      |2|2|2|0|2|0|2|0|2|0|2|0|2|2|2|0|2|0|2|0|1
01100339|1|1|01|00|00|02|3|1|5|05|05|1|40|08|10|0|1|6|00|00|11|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|0|0|1
01100347|1|0|01|02|00|01|3|1|6|02|02|7|00|00|05|0|1|2|22|05|05|0|1|      |0|0|0|0|2|0|0|0|0|0|2|0|0|0|0|0|2|0|0|0|0
01100354|1|0|01|00|01|01|3|1|7|02|02|3|20|02|02|0|1|2|40|02|02|0|1|      |2|2|0|2|2|0|2|2|2|2|2|0|0|2|0|0|2|0|2|0|0
01100404|1|0|01|00|00|01|1|2|4|04|01|0|00|00|00|0|0|1|36|09|06|0|1|      |0|0|0|0|2|2|0|0|2|0|2|0|0|0|0|0|2|0|0|0|0
01100453|0|1|01|01|00|01|3|1|5|04|01|1|60|06|09|0|1|0|00|00|00|0|0|      |2|2|2|0|2|0|0|0|0|0|0|0|0|2|0|0|2|0|2|0|1
01100487|1|0|01|01|00|02|3|1|4|05|05|1|40|07|07|0|1|1|42|06|05|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|2|2|0|2|0|1
01100578|0|1|01|00|00|02|3|1|4|07|02|7|00|00|05|0|1|7|00|00|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100586|1|1|01|00|00|02|3|1|4|05|02|7|00|00|05|0|1|7|00|00|05|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|2|2|0|2|0|0
01100602|1|0|01|00|02|03|4|2|5|10|03|1|60|07|09|0|1|1|45|04|08|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|2|2|2|2|2|0|0|0|0
01100628|1|0|01|00|01|03|3|1|5|03|04|0|00|00|00|0|0|1|43|06|09|0|1|      |2|2|1|2|2|0|2|0|2|2|0|0|0|1|2|0|2|0|1|0|1
01100644|0|0|01|01|00|02|3|1|8|04|02|7|00|00|03|0|1|1|35|05|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100651|1|1|01|00|00|02|3|1|5|05|05|1|40|06|05|0|1|6|00|00|06|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
