UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0041315000160|ADAMS CRM OF NH               |GR|OZ    |0016000|001|00001000000|0001
0041315010160|ADAMS CHK OF NH               |GR|OZ    |0016000|001|00001000000|0002
0041315040160|ADAMS CRM OF UNS NH           |GR|OZ    |0016000|001|00001000000|0003
0073147112050|AMERICAN CHK H                |GR|OZ    |0048000|001|00001000000|0004
0073147113050|AMERICAN CRM H                |GR|OZ    |0048000|001|00001000000|0005
0074333470220|ARRWHD DF SMTH CHK H          |GR|OZ    |0018000|001|00001000000|0006
0074333470420|ARRWHD DF SMTH CRM H          |GR|OZ    |0018000|001|00001000000|0007
0070675223010|BILLY BOY CRM NAT H           |GR|OZ    |0018000|001|00001000000|0008
0070675225010|BILLY BOY CRM NAT H           |GR|OZ    |0028000|001|00001000000|0009
0070675226010|BILLY BOY CRM NAT H           |GR|OZ    |0040000|001|00001000000|0010
0070675226020|BILLY BOY CHK NAT H           |GR|OZ    |0040000|001|00001000000|0011
0070106270010|DIA-MEL CRM DIET UNS H        |GR|OZ    |0012000|001|00001000000|0012
0041248001150|ELAM'S CRM NAT/WHEAT GRM NH   |GR|OZ    |0018000|001|00001000000|0013
0041679017270|FEATHERWEIGHT CRM LOW-SOD H   |GR|OZ    |0006000|001|00001000000|0014
0041679017300|FEATHERWEIGHT CRM LOW-SOD H   |GR|OZ    |0012000|001|00001000000|0015
0041679017320|FEATHERWEIGHT CHK LOW-SOD H   |GR|OZ    |0006000|001|00001000000|0016
0041277280420|GOURMET AWARD CHK DIET NH     |GR|OZ    |0016000|001|00001000000|0017
0041277280400|GOURMET NATURAL CRM NAT NH    |GR|OZ    |0016000|001|00001000000|0018
0023254456110|HAIN CRM UNS CASHEW H         |GR|OZ    |0011000|001|00001000000|0019
0023254466210|HAIN CRM UNS NH               |GR|OZ    |0016000|001|00001000000|0020
0075236180010|HALLAM CRM OF NH              |GR|OZ    |0018000|001|00001000000|0021
0075236180020|HALLAM CHK OF NH              |GR|OZ    |0018000|001|00001000000|0022
0075236280020|HALLAM CHK OF NH              |GR|OZ    |0018000|001|00001000000|0023
