ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
02|0001|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0005|0010100076330|198526|N|N|N|N|L|N|N|N|0000100|03
02|0006|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0008|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0009|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0011|0010100076330|198526|N|N|N|N|L|N|N|N|0000100|03
02|0012|0010100076330|198526|N|N|N|N|L|N|N|N|0000100|03
02|0014|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0015|0010100076330|198526|N|N|Y|N|L|N|N|N|0000100|03
02|0005|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0006|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0009|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0012|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0015|0010100076330|198527|N|N|Y|N| |N|N|N|0000100|03
02|0005|0010100076330|198528|N|N|Y|N| |N|N|N|0000100|03
02|0006|0010100076330|198528|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198528|N|N|Y|N| |N|N|N|0000100|03
02|0012|0010100076330|198528|N|N|Y|N| |N|N|N|0000100|03
02|0014|0010100076330|198528|N|N|Y|N| |N|N|N|0000100|03
02|0005|0010100076330|198529|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198529|N|N|Y|N| |N|N|N|0000100|03
02|0012|0010100076330|198529|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198530|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198531|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198532|N|N|Y|N| |N|N|N|0000100|03
02|0012|0010100076330|198532|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198533|N|N|Y|N| |N|N|N|0000100|03
02|0012|0010100076330|198533|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198534|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198535|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198536|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198537|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198538|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198539|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198540|N|N|Y|N| |N|N|N|0000100|03
02|0008|0010100076330|198541|N|N|Y|N| |N|N|N|0000100|03
01|0043|0011115620340|198706|N|N|N|Y| |N|N|Y|0000069|01
01|0043|0011115620340|198707|N|N|N|Y| |N|N|Y|0000069|01
02|0001|0011115620340|198704|N|N|N|Y| |N|N|Y|0000065|02
02|0009|0011115620340|198704|Y|N|N|N| |N|N|Y|0000065|01
02|0014|0011115620340|198704|N|N|Y|N| |N|N|Y|0000065|01
02|0001|0011115620340|198705|N|N|N|Y| |N|N|N|0000065|01
02|0008|0011115620340|198705|N|N|Y|N| |N|N|N|0000065|01
02|0009|0011115620340|198705|Y|N|N|N| |N|N|Y|0000065|01
02|0012|0011115620340|198705|N|N|N|Y| |N|N|N|0000129|01
02|0014|0011115620340|198705|N|N|Y|N| |N|N|N|0000065|01
02|0008|0011115620340|198706|N|N|Y|N| |N|N|N|0000065|01
02|0009|0011115620340|198706|Y|N|N|N| |N|N|Y|0000065|01
02|0012|0011115620340|198706|N|N|N|Y| |N|N|N|0000065|01
02|0012|0011115620340|198707|N|N|N|Y| |N|N|N|0000065|01
02|0012|0011115620340|198708|N|N|N|Y| |N|N|N|0000065|01
02|0012|0011115620340|198709|N|N|N|Y| |N|N|N|0000065|01
01|0016|0011115621690|198638|N|N|N|N|M|N|N|Y|0000109|01
01|0018|0011115621690|198638|N|N|N|N|M|N|N|Y|0000109|01
01|0021|0011115621690|198638|N|Y|N|N|M|N|N|Y|0000109|01
01|0024|0011115621690|198638|N|N|N|N|M|N|N|Y|0000109|01
01|0026|0011115621690|198638|N|N|N|N|M|N|N|Y|0000109|01
01|0029|0011115621690|198638|N|N|N|N|M|N|N|Y|0000109|01
01|0021|0011115621690|198639|Y|N|N|N| |N|N|N|0000123|01
01|0043|0011115621690|198703|N|N|N|N|L|N|N|Y|0000099|01
02|0017|0011115621690|198638|N|N|N|N|M|N|N|Y|0000119|01
02|0019|0011115621690|198638|N|N|N|N|M|N|N|Y|0000119|01
02|0020|0011115621690|198638|N|N|N|N|M|N|N|Y|0000119|01
