UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0046800074740|CHIFFON V-O SFT 2TB           |GR|POUND |0001000|001|00001000000|0001
0046800074780|CHIFFON V-O US SFT 2TB        |GR|POUND |0001000|001|00001000000|0002
0046800096520|CHIFFON V-O WHP SFT TB        |GR|POUND |0001000|001|00001000000|0003
0046800096540|CHIFFON V-O SFT TB            |GR|POUND |0001000|001|00001000000|0004
0046800097060|CHIFFON V-O SFT 4ST           |GR|POUND |0001000|001|00001000000|0005
0046800034960|GLDN MIST C-O 4ST             |GR|POUND |0001000|001|00001000000|0006
0046800073200|MEADOWLAKE V-O SFT TB         |GR|POUND |0001000|001|00001000000|0007
0046800014000|MRS TUCKERS V-O SFT SPR TB    |GR|POUND |0003000|001|00001000000|0008
0046800023060|MRS TUCKERS V-O SFT SPR TB    |GR|POUND |0001000|001|00001000000|0009
0046800066400|VELVET SPR V-O SFT SPR TB     |GR|POUND |0002000|001|00001000000|0010
0046800071480|VELVET SPR V-O SPR 4ST        |GR|POUND |0001000|001|00001000000|0011
0015700233890|GLDN FM BL C-O/BTR 4ST        |GR|POUND |0001000|001|00001000000|0012
0027400100300|BL SEAL V-O 4ST               |GR|POUND |0001000|001|00001000000|0013
0027400100600|S BTRMCH V-O/BTR 4ST          |GR|POUND |0001000|001|00001000000|0014
0027400100990|S V-O SFT TB                  |GR|POUND |0001000|001|00001000000|0015
0027400103070|S-S C-C V-O SFT SPR TB        |GR|POUND |0001000|001|00001000000|0016
0027400103080|S-S C-C V-O SFT SPR TB        |GR|POUND |0001500|001|00001000000|0017
0027400103100|S-S C-C V-O SFT SPR TB        |GR|POUND |0003000|001|00001000000|0018
0027400103120|S-S C-C V-O SFT SPR TB        |GR|POUND |0005000|001|00001000000|0019
0027400103140|S-S C-C C-O SFT SPR TB        |GR|POUND |0001500|001|00001000000|0020
0027400103200|S-S C-C C-Q V-O SPR 4ST       |GR|POUND |0001000|001|00001000000|0021
0027400103220|S-S C-C V-O SFT SPR 2TB       |GR|POUND |0001000|001|00001000000|0022
0027400103250|S-S C-C C-Q V-O SPR 12ST      |GR|POUND |0003000|001|00001000000|0023
0027400103260|S-S C-C C-Q V-O SPR 12ST      |GR|POUND |0004000|001|00001000000|0024
0027400103350|S-S C-C C-O SPR 4ST           |GR|POUND |0001000|001|00001000000|0025
0027400103400|S-S C-C C-O SFT SPR 2TB       |GR|POUND |0001000|001|00001000000|0026
0027400104940|S V-O SFT SPR TB              |GR|POUND |0002000|001|00001000000|0027
0027400104950|S V-O SPR 4ST                 |GR|POUND |0001000|001|00001000000|0028
0027400105070|S C-O SFT SPR TB              |GR|POUND |0002000|001|00001000000|0029
0027400105150|S GLD'N KRN C-O 4ST           |GR|POUND |0001000|001|00001000000|0030
0027400105300|S V-O WHP SPR TMBLR           |GR|POUND |0000500|001|00001000000|0031
0027400104100|SURE GOOD SY-O SFT SPR TB     |GR|POUND |0001000|001|00001000000|0032
0027400102830|TASTEE ANIMAL FAT LT SPR 4ST  |GR|POUND |0001000|001|00001000000|0033
0027400110100|TASTEE V-O WHP SFT SPR TB     |GR|POUND |0002000|001|00001000000|0034
0027400110150|TASTEE V-O WHP SFT SPR TB     |GR|POUND |0003000|001|00001000000|0035
0027400110160|TASTEE V-O SFT SPR TB         |GR|POUND |0003000|001|00001000000|0036
0048001218100|MAZOLA C-O DT SFT 2TB         |GR|POUND |0001000|001|00001000000|0037
0048001220100|MAZOLA C-O 4ST                |GR|POUND |0001000|001|00001000000|0038
0048001264300|MAZOLA C-O US 4ST             |GR|POUND |0001000|001|00001000000|0039
0075925210000|CRST FRM V-O/BTR SLD          |GR|POUND |0001000|001|00001000000|0040
0075925210010|CRST FRM V-O 4ST              |GR|POUND |0001000|001|00001000000|0041
0075925210030|CRST FRM V-O SFT SPR TB       |GR|POUND |0001000|001|00001000000|0042
0075925210040|CRST FRM V-O/BTR 4ST          |GR|POUND |0001000|001|00001000000|0043
0075925210060|CRST FRM V-O DT WHP SPR TB    |GR|POUND |0002000|001|00001000000|0044
0075925210070|CRST FRM V-O DT SPR TB        |GR|POUND |0003000|001|00001000000|0045
0037600075410|HORMEL ANIMAL FAT 4ST         |GR|POUND |0001000|001|00001000000|0046
0033100001010|GLD-N-SFT V-O SFT TB          |GR|POUND |0001000|001|00001000000|0047
0041429416080|HOLSUM V-O 4ST                |GR|POUND |0001000|001|00001000000|0048
0021000650550|KR SPR TOB V-O SPR 4ST        |GR|POUND |0001000|001|00001000000|0049
0021000650570|KR SPR TOB V-O SFT SPR TB     |GR|POUND |0001000|001|00001000000|0050
0021000650580|KR SPR TOB V-O SFT SPR TB     |GR|POUND |0002000|001|00001000000|0051
