ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
01|0029|0010500000880|198530|N|N|N|Y| |N|N|N|0000141|01
01|0003|0010500000880|198603|N|N|N|N|M|N|N|Y|0000128|01
01|0004|0010500000880|198603|N|N|N|N|M|N|N|Y|0000128|01
01|0007|0010500000880|198603|N|N|N|N|M|N|N|Y|0000128|01
01|0016|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0018|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0021|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0024|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0026|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0029|0010500000880|198606|N|N|N|N| |Y|N|N|0000141|01
01|0043|0010500000880|198612|N|N|N|N|M|N|N|Y|0000099|01
01|0043|0010500000880|198616|Y|N|N|N| |N|N|Y|0000145|01
01|0043|0010500000880|198617|Y|N|N|N| |N|N|Y|0000145|01
01|0043|0010500000880|198618|Y|N|N|N| |N|N|N|0000145|01
01|0016|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0018|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0021|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0024|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0026|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0029|0010500000880|198627|N|N|N|N| |Y|N|N|0000147|01
01|0003|0010500000880|198629|N|N|N|N|M|N|N|Y|0000128|01
01|0004|0010500000880|198629|N|N|N|N|M|N|N|Y|0000128|01
01|0007|0010500000880|198629|N|N|N|N|M|N|N|Y|0000128|01
01|0043|0010500000880|198701|Y|N|N|N|M|N|N|Y|0000129|01
01|0043|0010500000880|198702|N|N|N|N|L|N|N|Y|0000129|01
01|0043|0010500000880|198704|N|N|Y|N| |N|N|N|0000139|01
01|0043|0010500000880|198705|N|N|Y|N| |N|N|Y|0000139|01
01|0043|0010500000880|198706|N|N|Y|N| |N|N|Y|0000139|01
01|0043|0010500000880|198711|N|N|Y|N| |N|N|N|0000131|01
01|0043|0010500000880|198712|N|N|Y|N| |N|N|N|0000131|01
02|0001|0010500000880|198706|Y|N|N|N| |N|N|N|0000147|01
01|0039|0010500000890|198534|N|N|N|N| |Y|N|N|0000199|01
01|0016|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0018|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0021|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0024|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0026|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0029|0010500000890|198541|N|N|N|N| |Y|N|N|0000279|01
01|0043|0010500000890|198633|N|N|N|N|M|N|N|Y|0000259|01
01|0043|0010500000890|198649|N|N|N|N|M|N|N|Y|0000238|01
01|0003|0010500650130|198516|N|N|N|N| |Y|N|N|0000135|01
01|0004|0010500650130|198516|N|N|N|N| |Y|N|N|0000135|01
01|0007|0010500650130|198516|N|N|N|N| |Y|N|N|0000135|01
01|0003|0010500650130|198512|N|N|N|N| |Y|N|N|0000147|01
01|0004|0010500650130|198512|N|N|N|N| |Y|N|N|0000147|01
01|0007|0010500650130|198512|N|N|N|N| |Y|N|N|0000147|01
02|0025|0011161152240|198508|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152240|198507|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152240|198506|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152240|198505|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198512|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198513|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198511|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198510|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198509|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152260|198508|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198508|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152260|198507|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198507|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152260|198506|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198506|Y|N|N|N| |N|N|N|0000051|01
02|0025|0011161152260|198505|Y|N|N|N| |N|N|N|0000051|01
02|0022|0011161152260|198505|Y|N|N|N| |N|N|N|0000051|01
02|0001|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0005|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0006|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0008|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0009|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0011|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0012|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0014|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0015|0015800030610|198623|N|N|N|N| |Y|N|N|0000099|01
02|0017|0015800030610|198718|N|N|N|N|M|N|N|Y|0000333|01
02|0019|0015800030610|198718|N|N|N|N|M|N|N|Y|0000333|01
02|0020|0015800030610|198718|N|N|N|N|M|N|N|Y|0000333|01
