UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0070090674060|AMRN CRYST LT BRN SGR P BG    |GR|OZ    |0032000|001|00001000000|0001
0070090674180|AMRN CRYST DRK BRN SGR CRTN   |GR|OZ    |0016000|001|00001000000|0002
0070090674190|AMRN CRYST LT BRN SGR CRTN    |GR|OZ    |0016000|001|00001000000|0003
0070090674200|AMRN CRYST DRK BRN SGR P BG   |GR|OZ    |0032000|001|00001000000|0004
0070090674210|AMERICAN CRYSTAL SGR CUBE CRTN|GR|OZ    |0017600|001|00001000000|0005
0070090674010|AMERICAN CRYST FN BT SGR BG   |GR|POUND |0010000|001|00001000000|0006
0070090674020|AMERICAN CRYST FN BT SGR BG   |GR|POUND |0005000|001|00001000000|0007
0070090674030|AMERICAN CRYST FN BT SGR CRTN |GR|POUND |0002000|001|00001000000|0008
0070090674150|AMERICAN CRYST EX FN SGR BG   |GR|POUND |0001000|001|00001000000|0009
0070090674160|AMERICAN CRYST SGR BG         |GR|POUND |0001000|001|00001000000|0010
0070090674050|A-C PW SGR P BG               |GR|OZ    |0032000|001|00001000000|0011
0070090674170|A-C PW SGR CRTN               |GR|OZ    |0016000|001|00001000000|0012
0070038344220|BEST CHOICE PW SGR CRTN       |GR|OZ    |0016000|001|00001000000|0013
0015800062110|C AND H GLDN CN BRN SGR CRTN  |GR|OZ    |0016000|001|00001000000|0014
0015800062320|C AND H GLDN CN BRN SGR P BG  |GR|OZ    |0032000|001|00001000000|0015
0015800064110|C AND H DRK CN BRN SGR CRTN   |GR|OZ    |0016000|001|00001000000|0016
0015800064320|C AND H DRK CN BRN SGR P BG   |GR|OZ    |0032000|001|00001000000|0017
0015800050110|C AND H SGR CUBELETS CRTN     |GR|OZ    |0016000|001|00001000000|0018
0015800050120|C AND H SGR CUBELETS CRTN     |GR|OZ    |0032000|001|00001000000|0019
0015800052110|C AND H COCKTAIL SGR CUBE CRTN|GR|OZ    |0016000|001|00001000000|0020
0015800030110|C AND H CN SGR CRTN           |GR|POUND |0001000|001|00001000000|0021
0015800030210|C AND H CN SGR BG             |GR|POUND |0025000|001|00001000000|0022
0015800030430|C AND H CN SGR CRTN           |GR|POUND |0002000|001|00001000000|0023
0015800030480|C AND H CN SGR CRTN           |GR|POUND |0002000|001|00001000000|0024
0015800030610|C AND H CN SGR BG             |GR|POUND |0010000|001|00001000000|0025
0015800030630|C AND H CN SGR BG             |GR|POUND |0005000|001|00001000000|0026
0015800035110|C AND H SUPER FN CN SGR CRTN  |GR|POUND |0001000|001|00001000000|0027
0015800130610|C AND H CN SGR BG             |GR|POUND |0010000|001|00001000000|0028
0015800130630|C AND H CN SGR BG -.10        |GR|POUND |0005000|001|00001000000|0029
0015800070110|C AND H CF PW SGR CRTN        |GR|OZ    |0016000|001|00001000000|0030
0015800070320|C AND H CF PW SGR P BG        |GR|OZ    |0032000|001|00001000000|0031
0049200056600|DOMINO LIQ BRN SGR BTL        |GR|OZ    |0016000|001|00001000000|0032
0049200058680|DOMINO BRNLTD BRN SGR CRTN    |GR|OZ    |0014000|001|00001000000|0033
0049200040150|DOMINO HST SGR CSL TABLET CRTN|GR|OZ    |0016000|001|00001000000|0034
0049200040860|DOMINO INST DISLV SGR PKT CRTN|GR|OZ    |0006500|001|00001000000|0035
0049200061560|DOMINO CINN SGR GRN BTL       |GR|OZ    |0003000|001|00001000000|0036
0049200048410|DOMINO SUPER FN CN SGR CRTN   |GR|POUND |0001000|001|00001000000|0037
0047600022470|DURKEE CINN SGR GRN JR        |GR|OZ    |0003000|001|00001000000|0038
0047600022480|DURKEE CINN SGR GRN JR        |GR|OZ    |0002750|001|00001000000|0039
0300258109310|EQUAL SGR SUB GR PK B         |CT|CT    |0100000|001|00001000000|0040
0300258109350|EQUAL SGR SUB GR PK B         |CT|CT    |0200000|001|00001000000|0041
