UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0030400000480|ANGEL SOFT WHT 2P 330S TT     |CT|CT    |0004000|001|00001000000|0001
0030400012400|ANGEL SOFT SD/C 2P 330S TT    |CT|CT    |0004000|001|00001000000|0002
0030400013890|ANGEL SOFT PRT 2P 330S TT     |CT|CT    |0004000|001|00001000000|0003
0037000671110|BANNER WHT 1P 400S TT         |CT|CT    |0004000|001|00001000000|0005
0037000671120|BANNER WHT 1P 400S TT -.15    |CT|CT    |0004000|001|00001000000|0006
0037000671160|BANNER WHT 1P 400S TT -.20    |CT|CT    |0004000|001|00001000000|0007
0037000671180|BANNER WHT 1P 400S TT PP      |CT|CT    |0004000|001|00001000000|0008
0037000671210|BANNER SD/C 1P 400S TT        |CT|CT    |0004000|001|00001000000|0009
0037000671220|BANNER SD/C 1P 400S TT -.15   |CT|CT    |0004000|001|00001000000|0010
0037000671280|BANNER ASST 1P 400S TT PP     |CT|CT    |0004000|001|00001000000|0011
0037000671410|BANNER SD/C 1P 380S TT        |CT|CT    |0004000|001|00001000000|0012
0037000671420|BANNER YLW 1P 350S TT         |CT|CT    |0004000|001|00001000000|0013
0037000671510|BANNER ASST 1P 380S TT        |CT|CT    |0004000|001|00001000000|0014
0037000671520|BANNER BLU 1P 350S TT         |CT|CT    |0004000|001|00001000000|0015
0037000671610|BANNER WHT 1P 380S TT         |CT|CT    |0004000|001|00001000000|0016
0037000671620|BANNER WHT 1P 350S TT         |CT|CT    |0004000|001|00001000000|0017
0037000673120|BANNER WHT 1P 400S TT         |CT|CT    |0009000|001|00001000000|0018
0037000673140|BANNER WHT 1P 350S TT         |CT|CT    |0009000|001|00001000000|0019
0037000673180|BANNER WHT 1P 350S TT PP      |CT|CT    |0009000|001|00001000000|0020
0037000673190|BANNER WHT 1P 350S TT PP      |CT|CT    |0009000|001|00001000000|0021
0037000681110|CERTAIN WHT 1P 200S PMST TT   |CT|CT    |0004000|001|00001000000|0023
0037000681140|CERTAIN WHT 1P 200S PMST TT PP|CT|CT    |0004000|001|00001000000|0024
0037000681610|CERTAIN SD/C 1P 400S PMST TT  |CT|CT    |0004000|001|00001000000|0025
0037000601110|CHRMN WHT 1P 400S TT          |CT|CT    |0004000|001|00001000000|0027
0037000601210|CHRMN PNK 1P 400S TT          |CT|CT    |0004000|001|00001000000|0028
0037000601310|CHRMN GRN 1P 400S TT          |CT|CT    |0004000|001|00001000000|0029
0037000601410|CHRMN SD/C 1P 400S TT         |CT|CT    |0004000|001|00001000000|0030
0037000601510|CHRMN BLU 1P 400S TT          |CT|CT    |0004000|001|00001000000|0031
0037000602110|CHRMN WHT 1P 400S TT          |CT|CT    |0006000|001|00001000000|0032
0037000602410|CHRMN SD/C 1P 400S TT         |CT|CT    |0006000|001|00001000000|0033
0037000602510|CHRMN SD/C 1P 400S TT         |CT|CT    |0006000|001|00001000000|0034
0037000604110|CHRMN WHT 1P 400S TT UNS      |CT|CT    |0006000|001|00001000000|0035
0037000604120|CHRMN WHT 1P 350S TT UNS      |CT|CT    |0006000|001|00001000000|0036
0037000604230|CHRMN SD/C 1P 350S TT UNS     |CT|CT    |0006000|001|00001000000|0037
0037000604410|CHRMN SD/C 1P 400S TT UNS     |CT|CT    |0006000|001|00001000000|0038
0037000604420|CHRMN ASST 1P 350S TT UNS     |CT|CT    |0006000|001|00001000000|0039
0037000604460|CHRMN SD/C 1P 400S TT UNS -.20|CT|CT    |0006000|001|00001000000|0040
0037000605110|CHRMN FREE WHT 1P 350S TT UNS |CT|CT    |0004000|001|00001000000|0041
0037000605120|CHRMN WHT 1P 380S TT          |CT|CT    |0004000|001|00001000000|0042
0037000605210|CHRMN PNK 1P 350S TT          |CT|CT    |0004000|001|00001000000|0043
0037000605220|CHRMN PNK 1P 380S TT          |CT|CT    |0004000|001|00001000000|0044
0037000605310|CHRMN GRN 1P 350S TT          |CT|CT    |0004000|001|00001000000|0045
0037000605320|CHRMN GRN 1P 380S TT          |CT|CT    |0004000|001|00001000000|0046
0037000605410|CHRMN YLW 1P 350S TT          |CT|CT    |0004000|001|00001000000|0047
0037000605420|CHRMN SD/C 1P 380S TT         |CT|CT    |0004000|001|00001000000|0048
0037000605510|CHRMN BLU 1P 350S TT          |CT|CT    |0004000|001|00001000000|0049
0037000605520|CHRMN BLU 1P 380S TT          |CT|CT    |0004000|001|00001000000|0050
0037000605610|CHRMN SD/C 1P 350S TT         |CT|CT    |0004000|001|00001000000|0051
0037000605710|CHRMN SD/C 1P 350S TT         |CT|CT    |0004000|001|00001000000|0052
0037000606110|CHRMN WHT 1P 350S TT          |CT|CT    |0006000|001|00001000000|0053
0037000606120|CHRMN WHT 1P 380S TT          |CT|CT    |0006000|001|00001000000|0054
0037000606410|CHRMN YLW 1P 350S TT          |CT|CT    |0006000|001|00001000000|0055
0037000606420|CHRMN YLW 1P 380S TT          |CT|CT    |0006000|001|00001000000|0056
0072740261970|COLORTEX ASST 1P 400S TT UNS  |CT|CT    |0004000|001|00001000000|0058
0030400011650|CORONET PRT 2P 300S TT        |CT|CT    |0008000|001|00001000000|0060
0030400011680|CORONET PRT 2P 300S TT        |CT|CT    |0008000|001|00001000000|0061
0030400011880|CORONET PRT 2P 330S TT        |CT|CT    |0008000|001|00001000000|0062
0030400199990|CORONET PRT 2P 400S TT PP     |CT|CT    |0004000|001|00001000000|0063
0054000494000|CTNL WHT 1P 350S TT           |CT|CT    |0004000|001|00001000000|0065
0054000494100|CTNL PRT 2P 350S TT           |CT|CT    |0004000|001|00001000000|0066
0054000494200|CTNL SD/C 1P 350S TT          |CT|CT    |0004000|001|00001000000|0067
0054000496000|CTNL WHT 1P 380S TT           |CT|CT    |0006000|001|00001000000|0068
0036000488100|DELSEY WHT 2P 330S TT         |CT|CT    |0004000|001|00001000000|0070
0036000488110|DELSEY WHT 2P 330S TT PP      |CT|CT    |0004000|001|00001000000|0071
0036000488120|DELSEY WHT 2P 375S TT PP      |CT|CT    |0004000|001|00001000000|0072
0036000488150|DELSEY WHT 2P 330S TT PP      |CT|CT    |0004000|001|00001000000|0073
0030400000010|DELTA SD/C 1P 400S TT PP      |CT|CT    |0004000|001|00001000000|0075
0030400081400|DELTA WHT 1P 400S TT          |CT|CT    |0004000|001|00001000000|0076
0030400081450|DELTA SD/C 1P 400S TT         |CT|CT    |0004000|001|00001000000|0077
0054000216660|FAM SCOTT ASST 1P 400S TT -.15|CT|CT    |0006000|001|00001000000|0079
0054000217700|FAM SCOTT SD/C 1P 400S TT UNS |CT|CT    |0004000|001|00001000000|0080
0054000277700|FAM SCOTT SD/C 1P 500S TT     |CT|CT    |0004000|001|00001000000|0081
0054000283800|FAM SCOTT PRT 1P 500S TT      |CT|CT    |0004000|001|00001000000|0082
0070524021000|GENTLE TOUCH ASST 2P 330S TT  |CT|CT    |0008000|001|00001000000|0084
0036000485600|HI-DRI WHT 1P 400S TT         |CT|CT    |0004000|001|00001000000|0086
0071623900170|JNMR CRTN CHRISTMAS 2P 375S TT|CT|CT    |0001000|001|00001000000|0088
0036000498910|KLNX BOTQ PRT 2P 330S TT PP   |CT|CT    |0004000|001|00001000000|0090
0032300752460|MARINA SD/C 2P 375S TT        |CT|CT    |0004000|001|00001000000|0092
0032300752470|MARINA WHT 2P 350S TT         |CT|CT    |0004000|001|00001000000|0093
0038300152460|MARINA SD/C 2P 350S TT        |CT|CT    |0004000|001|00001000000|0094
0036500000140|MR BIG PRT 2P 360S TT         |CT|CT    |0006000|001|00001000000|0096
0036500040380|MR BIG ASST 2P 550S TT        |CT|CT    |0006000|001|00001000000|0097
0072740161210|MR JUMBO WHT 1P 300S TT       |CT|CT    |0012000|001|00001000000|0099
0032300754510|NCEN SF SD/C 1P 400S TT       |CT|CT    |0004000|001|00001000000|0101
0032300754530|NCEN SF AC/C 1P 400S TT       |CT|CT    |0004000|001|00001000000|0102
0032300754550|NCEN SF SD/C 1P 400S TT       |CT|CT    |0006000|001|00001000000|0103
0042000100000|NRTHRN WHT 2P 350S TT         |CT|CT    |0001000|001|00001000000|0105
0042000101000|NRTHRN SD/C 2P 400S TT        |CT|CT    |0001000|001|00001000000|0106
0042000130000|NRTHRN SD/C 2P 400S TT        |CT|CT    |0004000|001|00001000000|0107
0042000131000|NRTHRN WHT 2P 380S TT         |CT|CT    |0004000|001|00001000000|0108
0042000133000|NRTHRN SD/C 2P 350S TT        |CT|CT    |0004000|001|00001000000|0109
0042000135000|NRTHRN SD/C 2P 330S TT        |CT|CT    |0004000|001|00001000000|0110
0042000136000|NRTHRN SD/C 2P 330S TT        |CT|CT    |0004000|001|00001000000|0111
0042000137000|NRTHRN PRT 2P 380S TT         |CT|CT    |0004000|001|00001000000|0112
0042000142000|NRTHRN SD/C 2P 400S TT        |CT|CT    |0004000|001|00001000000|0113
0042000143000|NRTHRN SD/C 2P 380S TT        |CT|CT    |0004000|001|00001000000|0114
0042000144000|NRTHRN SD/C 2P 350S TT        |CT|CT    |0004000|001|00001000000|0115
0042000146000|NRTHRN SD/C 2P 350S TT        |CT|CT    |0004000|001|00001000000|0116
0042000147000|NRTHRN SD/C 2P 350S TT        |CT|CT    |0004000|001|00001000000|0117
0042000148000|NRTHRN SD/C 2P 350S TT        |CT|CT    |0006000|001|00001000000|0118
0073310105000|PAGE WHT 1P 400S TT           |CT|CT    |0004000|001|00001000000|0120
0070524014170|PERT WHT 1P 400S TT           |CT|CT    |0004000|001|00001000000|0122
0070524014500|POPE & TALBOT WHT 1P 400S TT  |CT|CT    |0024000|001|00001000000|0124
0070253431700|RITZ ASST 2P 300S TT          |CT|CT    |0008000|001|00001000000|0126
0054000415000|SCOTT WHT 1P 1000S TT         |CT|CT    |0001000|001|00001000000|0128
0054000415800|SCOTT SD/C 1P 1000S TT        |CT|CT    |0001000|001|00001000000|0129
0054000447000|SCOTT WHT 1P 1000S TT         |CT|CT    |0004000|001|00001000000|0130
0054000447080|SCOTT WHT 1P 1000S TT -.20    |CT|CT    |0004000|001|00001000000|0131
0054000447800|SCOTT SD/C 1P 1000S TT        |CT|CT    |0004000|001|00001000000|0132
0054000447880|SCOTT SD/C 1P 1000S TT -.20   |CT|CT    |0004000|001|00001000000|0133
0073310109170|SF GTL WHT 2P 300S TT UNS     |CT|CT    |0006000|001|00001000000|0135
0073310135330|SF GTL WHT 2P 300S TT UNS PP  |CT|CT    |0004000|001|00001000000|0136
0073310135340|SF GTL SD/C 2P 300S TT UNS PP |CT|CT    |0004000|001|00001000000|0137
0073310135360|SF GTL WHT 2P 300S TT UNS     |CT|CT    |0004000|001|00001000000|0138
0073310135370|SF GTL SD/C 2P 300S TT UNS PP |CT|CT    |0004000|001|00001000000|0139
0073310136170|SF GTL WHT 2P 300S TT UNS     |CT|CT    |0004000|001|00001000000|0140
0073310136180|SF GTL SD/C 2P 300S TT UNS    |CT|CT    |0004000|001|00001000000|0141
0054000385000|SF 'N' PR SD/C 2P 400S TT     |CT|CT    |0004000|001|00001000000|0143
0054000386000|SF 'N' PR WHT 2P 400S TT      |CT|CT    |0004000|001|00001000000|0144
0054000390000|SF 'N' PR PRT 2P 400S TT      |CT|CT    |0004000|001|00001000000|0145
0054000390600|SF 'N' PR ASST 2P 350S TT     |CT|CT    |0006000|001|00001000000|0146
0013100770580|SPA WHT 1P 200S TT            |CT|CT    |0004000|001|00001000000|0148
0013100440040|VELURE WHT 1P 300S TT         |CT|CT    |0004000|001|00001000000|0150
0072740960210|VELVET WHT 2P 200S TT         |CT|CT    |0012000|001|00001000000|0151
0072740960770|VELVET WHT 2P 200S TT         |CT|CT    |0004000|001|00001000000|0153
0054000238000|WALDORF WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0155
0054000238900|WALDORF SD/C 1P 400S TT       |CT|CT    |0004000|001|00001000000|0156
0054000245800|WALDORF PRT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0157
0037000612110|WHT CLOUD SD/C 2P 300S TT     |CT|CT    |0006000|001|00001000000|0159
0037000612160|WHT CLOUD SD/C 2P 300S TT     |CT|CT    |0006000|001|00001000000|0160
0037000612170|WHT CLOUD WHT 2P 300S TT PP   |CT|CT    |0006000|001|00001000000|0161
0037000612220|WHT CLOUD WHT 2P 280S TT      |CT|CT    |0006000|001|00001000000|0162
0037000612240|WHT CLOUD SD/C 2P 280S TT -.20|CT|CT    |0006000|001|00001000000|0163
