UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0071270301540|MARTEL WTR CHK LT             |GR|OZ    |0006500|001|00001000000|0001
0086600000020|B BEE WTR SLD WHT             |GR|OZ    |0006500|001|00001000000|0002
0086600000330|B BEE WTR CHK LT              |GR|OZ    |0006500|001|00001000000|0003
0086600000370|B BEE OIL CHK LT              |GR|OZ    |0006500|001|00001000000|0004
0086600102510|B BEE WTR SLD WHT 3PK         |GR|OZ    |0003500|003|00001000000|0005
0086600114510|B BEE WTR CHK LT 3PK          |GR|OZ    |0003250|003|00001000000|0006
0038900000020|B BEE WTR SLD WHT             |GR|OZ    |0007000|001|00001000000|0007
0038900000310|B BEE WTR CHK LT              |GR|OZ    |0012500|001|00001000000|0008
0038900000330|B BEE WTR CHK LT              |GR|OZ    |0006500|001|00001000000|0009
0038900000340|B BEE WTR CHK LT              |GR|OZ    |0003250|001|00001000000|0010
0038900000360|B BEE OIL CHK LT              |GR|OZ    |0012500|001|00001000000|0011
0038900000370|B BEE OIL CHK LT              |GR|OZ    |0006500|001|00001000000|0012
0038900114510|B BEE WTR CHK LT 3PK          |GR|OZ    |0003250|003|00001000000|0013
0070463126010|RICHELIEU WTR CHK LT          |GR|OZ    |0006500|001|00001000000|0014
0077600152580|3 DIAMONDS WTR CHK LT         |GR|OZ    |0006500|001|00001000000|0015
0077600152930|3 DIAMONDS OIL CHK LT         |GR|OZ    |0006500|001|00001000000|0016
0077600152400|THREE PEARLS OIL GRTD LT      |GR|OZ    |0006000|001|00001000000|0017
0077600152970|THREE PEARLS OIL GRTD LT      |GR|OZ    |0006500|001|00001000000|0018
0071140101100|GEISHA WTR SLD WHT            |GR|OZ    |0007000|001|00001000000|0019
0071140203100|GEISHA WTR CHK LT             |GR|OZ    |0006500|001|00001000000|0020
0071140204100|GEISHA OIL CHK LT             |GR|OZ    |0006500|001|00001000000|0021
